,p,p|f=0,p|f=1,std,H,IG,IG ratio
Rank,0.625,0.0,1.0,0.4841229182759271,0.9544340029249649,0.9544340029249649,1.0
"yearID_(1871.857, 1919.667]",0.2191265060240964,0.6335583413693346,0.5945017182130584,0.4136545423197713,0.7585693182327489,0.0007975912440580935,0.0010514414765894495
"yearID_(1919.667, 1967.333]",0.2944277108433735,0.6221985058697972,0.6317135549872123,0.4557850742739303,0.8743723353877133,5.79685729664714e-05,6.629735482283647e-05
"yearID_(1967.333, 2015]",0.4864457831325301,0.6158357771260997,0.6346749226006192,0.4998162494408392,0.9994698404382192,0.00027295438765317925,0.00027309917379147926
lgID_AA,0.022590361445783132,0.6267334360554699,0.55,0.14859352952108196,0.15574753606745378,0.0003915439909980556,0.0025139658763428468
lgID_AL,0.4442771084337349,0.6294037940379403,0.6194915254237288,0.4968852577361253,0.9910221078683086,7.463300697341246e-05,7.530912416671338e-05
lgID_FL,0.0026355421686746986,0.6251415628539071,0.5714285714285714,0.05126983602618152,0.026377762481889937,2.2954277069109352e-05,0.0008702131988969485
lgID_NL,0.5304969879518072,0.615878107457899,0.6330731014904187,0.4990690670897873,0.9973147295630858,0.00022658221914217958,0.00022719229188707875
divID_C,0.08810240963855422,0.6218001651527663,0.6581196581196581,0.2834437775899035,0.43010398972712777,0.0003299480110142694,0.0007671354344413298
divID_E,0.2006777108433735,0.6170513424399435,0.6566604127579737,0.4005073872153136,0.7232814476429498,0.0007816591196334599,0.0010807122485731564
divID_U,0.5207078313253012,0.6347211311861743,0.6160520607375272,0.4995710016822544,0.9987623495782645,0.00026780999693998275,0.00026814186282959874
divID_W,0.1905120481927711,0.6306976744186047,0.6007905138339921,0.3927049881096134,0.7025413969265598,0.00042192262625029286,0.0006005662130318544
"G_(8.844, 61]",0.00941265060240964,0.6252375522614976,0.6,0.0965611340604918,0.07687374892831675,1.8127146343860367e-05,0.00023580411514421618
"G_(61, 113]",0.039909638554216864,0.6266666666666667,0.5849056603773585,0.1957469266800752,0.24187773174731608,0.00020313104828406647,0.0008398088026403053
"G_(113, 165]",0.9506777108433735,0.5877862595419847,0.6269306930693069,0.2165400677680109,0.283511085589821,0.00021860894599901037,0.000771077242162199
"Ghome_(43.96, 57.333]",0.016566265060240965,0.627488514548239,0.4772727272727273,0.1276394293398197,0.12170052569206094,0.0010921687210422304,0.00897423174494535
"Ghome_(57.333, 70.667]",0.022213855421686746,0.6261070465922218,0.576271186440678,0.14737842463872763,0.15369650002908866,0.00016354792599571066,0.0010640966187568195
"Ghome_(70.667, 84]",0.9612198795180723,0.5339805825242718,0.6286721504112809,0.19307051234545344,0.23667085645790145,0.001003494059862775,0.004240040683003463
"W_(1.886, 40]",0.022213855421686746,0.620331151328456,0.8305084745762712,0.14737842463872963,0.15369650002908866,0.00331851154516416,0.021591328003800328
"W_(40, 78]",0.4917168674698795,0.5222222222222223,0.7312404287901991,0.49993138500747203,0.9998020235095002,0.03399099531553729,0.03399772606602881
"W_(78, 116]",0.48606927710843373,0.7355311355311356,0.5081332300542215,0.4998058972838503,0.9994399741901359,0.040139750683879094,0.040162242576303846
"L_(6.873, 49.333]",0.05911144578313253,0.6318527410964386,0.5159235668789809,0.23583316721902026,0.32390754595285165,0.002237815169260249,0.006908808384433217
"L_(49.333, 91.667]",0.7899096385542169,0.7956989247311828,0.5795996186844614,0.40737255856693305,0.7416554270217011,0.02556727887209098,0.03447325798553467
"L_(91.667, 134]",0.1509789156626506,0.5751662971175167,0.9052369077306733,0.3580283266558416,0.6122846296073505,0.0510382003770431,0.08335698449554936
LgWin_N,0.9009789156626506,0.39923954372623577,0.649811951525282,0.2986903232346348,0.4658848014126238,0.016606806766988225,0.03564573627779702
LgWin_Y,0.0990210843373494,0.649811951525282,0.39923954372623577,0.2986903232346348,0.4658848014126238,0.016606806766988114,0.03564573627779678
WSWin_N,0.9563253012048193,0.41379310344827586,0.6346456692913386,0.20437029989783836,0.2588940018100272,0.006024008141496839,0.023268241440051487
WSWin_Y,0.043674698795180725,0.6346456692913386,0.41379310344827586,0.20437029989783836,0.2588940018100272,0.006024008141496839,0.023268241440051487
"R_(52.834, 442.667]",0.025978915662650603,0.6215693853884808,0.7536231884057971,0.15907234707403675,0.17380688929303983,0.0014422126114139733,0.008297787373562569
"R_(442.667, 831.333]",0.8637048192771084,0.5994475138121547,0.6290322580645161,0.34310174064642474,0.5744533741539944,0.0003148443269782586,0.000548076382077021
"R_(831.333, 1220]",0.11031626506024096,0.6326703343207787,0.5631399317406144,0.3132835564203797,0.5008691726624674,0.001436424923919155,0.002867864508976584
"AB_(357.582, 2169]",0.00338855421686747,0.6252361163581412,0.5555555555555556,0.05811257968104782,0.03268383336601332,4.942741496716252e-05,0.0015122894066202227
"AB_(2169, 3975]",0.04781626506024096,0.6255436931593515,0.6141732283464567,0.2133772946119779,0.277047169409276,1.8052552609004735e-05,6.51605740910353e-05
"AB_(3975, 5781]",0.9487951807228916,0.6102941176470589,0.6257936507936508,0.22041525754790176,0.29149306359617594,3.575028901092736e-05,0.00012264541931074742
"H_(91.31, 656.333]",0.006400602409638554,0.6244789693065556,0.7058823529411765,0.07974731781341252,0.055849382428521915,0.0001342534202836143,0.002403847893133586
"H_(656.333, 1219.667]",0.11634036144578314,0.6259054111631871,0.6181229773462783,0.3206326273860065,0.5187490448362574,1.91237368674102e-05,3.6865102804086296e-05
"H_(1219.667, 1783]",0.8772590361445783,0.6226993865030674,0.6253218884120172,0.32813963437423943,0.5371886947462626,2.277605105960312e-06,4.23986045915602e-06
"2B_(11.636, 133.333]",0.035015060240963854,0.6242684354272338,0.6451612903225806,0.18381786038708073,0.218949786486473,4.572463384699965e-05,0.00020883616550055223
