,p,p|f=0,p|f=1,std,H,IG,IG ratio
Rank,0.3614457831325301,0.0,1.0,0.48041932620185773,0.943876757128791,0.943876757128791,1.0
"yearID_(1871.857, 1919.667]",0.2191265060240964,0.34956605593056894,0.40378006872852235,0.4136545423197713,0.7585693182327489,0.0015547216459439461,0.002049544594772177
"yearID_(1919.667, 1967.333]",0.2944277108433735,0.36019210245464245,0.36445012787723785,0.4557850742739303,0.8743723353877133,1.1763559730426643e-05,1.3453719032876832e-05
"yearID_(1967.333, 2015]",0.4864457831325301,0.3812316715542522,0.34055727554179566,0.4998162494408392,0.9994698404382192,0.0012928019229939691,0.0012934876778544293
lgID_AA,0.022590361445783132,0.36093990755007704,0.38333333333333336,0.14859352952108196,0.15574753606745378,3.43245074593268e-05,0.000220385556818446
lgID_AL,0.4442771084337349,0.3699186991869919,0.35084745762711866,0.4968852577361253,0.9910221078683086,0.0002809199744192581,0.0002834648916395193
lgID_FL,0.0026355421686746986,0.36126840317100795,0.42857142857142855,0.05126983602618152,0.026377762481889937,3.6365200595356306e-05,0.0013786309820752764
lgID_NL,0.5304969879518072,0.3528468323977546,0.36905606813342795,0.4990690670897873,0.9973147295630858,0.00020462072163907052,0.00020517166304032523
divID_C,0.08810240963855422,0.36374896779521054,0.33760683760683763,0.2834437775899035,0.43010398972712777,0.00017316820540458355,0.00040261938866097754
divID_E,0.2006777108433735,0.37070183702308057,0.324577861163227,0.4005073872153136,0.7232814476429498,0.0010795172047715074,0.0014925271597791825
divID_U,0.5207078313253012,0.3401413982717989,0.3810556760665221,0.4995710016822544,0.9987623495782645,0.0013071302126942408,0.001308749987668425
divID_W,0.1905120481927711,0.3623255813953488,0.3577075098814229,0.3927049881096134,0.7025413969265598,1.0291036008802656e-05,1.4648298383302857e-05
"G_(8.844, 61]",0.00941265060240964,0.36069935385784874,0.44,0.0965611340604918,0.07687374892831675,0.00017853827042479953,0.002322486842566803
"G_(61, 113]",0.039909638554216864,0.36,0.39622641509433965,0.1957469266800752,0.24187773174731608,0.00015523264517036672,0.0006417814655734186
"G_(113, 165]",0.9506777108433735,0.40458015267175573,0.3592079207920792,0.2165400677680109,0.283511085589821,0.00029723997642328026,0.0010484245291675189
"Ghome_(43.96, 57.333]",0.016566265060240965,0.36332312404287903,0.25,0.1276394293398197,0.12170052569206094,0.0006916701688068905,0.005683378645027588
"Ghome_(57.333, 70.667]",0.022213855421686746,0.36195610319599536,0.3389830508474576,0.14737842463872763,0.15369650002908866,3.615914319154978e-05,0.0002352632830591867
"Ghome_(70.667, 84]",0.9612198795180723,0.30097087378640774,0.36388562475519,0.19307051234545344,0.23667085645790145,0.00047355565243734077,0.0020009039538063105
"W_(1.886, 40]",0.022213855421686746,0.3557951482479784,0.6101694915254238,0.14737842463872963,0.15369650002908866,0.004171737581977419,0.02714269733655532
"W_(40, 78]",0.4917168674698795,0.24666666666666667,0.48009188361408883,0.49993138500747203,0.9998020235095002,0.043070525182503316,0.043079053822393125
"W_(78, 116]",0.48606927710843373,0.4857142857142857,0.2300542215336948,0.4998058972838503,0.9994399741901359,0.05203537666597324,0.052064534148875165
"L_(6.873, 49.333]",0.05911144578313253,0.3677470988395358,0.2611464968152866,0.23583316721902026,0.32390754595285165,0.0020704913885649656,0.006392229555733625
"L_(49.333, 91.667]",0.7899096385542169,0.460573476702509,0.33508102955195423,0.40737255856693305,0.7416554270217011,0.00798624384463531,0.010768132415218786
"L_(91.667, 134]",0.1509789156626506,0.32993348115299337,0.5386533665835411,0.3580283266558416,0.6122846296073505,0.01681529547628713,0.02746320038618402
LgWin_N,0.9009789156626506,0.0038022813688212928,0.40075219389887173,0.2986903232346348,0.4658848014126238,0.06510698897676837,0.1397491156168981
LgWin_Y,0.0990210843373494,0.40075219389887173,0.0038022813688212928,0.2986903232346348,0.4658848014126238,0.06510698897676837,0.1397491156168981
WSWin_N,0.9563253012048193,0.0,0.3779527559055118,0.20437029989783836,0.2588940018100272,0.029071967373832774,0.11229293521896802
WSWin_Y,0.043674698795180725,0.3779527559055118,0.0,0.20437029989783836,0.2588940018100272,0.029071967373832774,0.11229293521896802
"R_(52.834, 442.667]",0.025978915662650603,0.3571704677232315,0.5217391304347826,0.15907234707403675,0.17380688929303983,0.0020521254950559564,0.01180692838703336
"R_(442.667, 831.333]",0.8637048192771084,0.2900552486187845,0.37271142109851785,0.34310174064642474,0.5744533741539944,0.0025859263979073344,0.0045015427086935724
"R_(831.333, 1220]",0.11031626506024096,0.37706305543800256,0.2354948805460751,0.3132835564203797,0.5008691726624674,0.006520811001017424,0.013018990500762474
"AB_(357.582, 2169]",0.00338855421686747,0.36116358141292026,0.4444444444444444,0.05811257968104782,0.03268383336601332,7.122161072370403e-05,0.0021791082437032827
"AB_(2169, 3975]",0.04781626506024096,0.35903519177540527,0.4094488188976378,0.2133772946119779,0.277047169409276,0.0003557791913733066,0.0012841827336908158
"AB_(3975, 5781]",0.9487951807228916,0.4117647058823529,0.35873015873015873,0.22041525754790176,0.29149306359617594,0.00041987031796864027,0.0014404127247100247
"H_(91.31, 656.333]",0.006400602409638554,0.3603637741568776,0.5294117647058824,0.07974731781341252,0.055849382428521915,0.0005430754540270977,0.009723929440440017
"H_(656.333, 1219.667]",0.11634036144578314,0.354069024286323,0.4174757281553398,0.3206326273860065,0.5187490448362574,0.001269869579898053,0.00244794586619217
"H_(1219.667, 1783]",0.8772590361445783,0.4233128834355828,0.35278969957081546,0.32813963437423943,0.5371886947462626,0.0016431374506712393,0.003058771464740828
"2B_(11.636, 133.333]",0.035015060240963854,0.3562231759656652,0.5053763440860215,0.18381786038708073,0.218949786486473,0.0022579724764755227,0.010312741166409053
"2B_(133.333, 254.667]",0.5945030120481928,0.33519034354688954,0.3793540215326156,0.49098796391950744,0.9740754424510567,0.001475209848313841,0.0015144718612367279
"2B_(254.667, 376]",0.3704819277108434,0.38636363636363635,0.31910569105691056,0.4829338142546025,0.9510414109805664,0.00332484801180144,0.0034960076116700035
"3B_(2.853, 52]",0.6641566265060241,0.3508968609865471,0.3667800453514739,0.47228445027776156,0.9207854485561198,0.00017624900089729945,0.00019141158363620412
"3B_(52, 101]",0.3204066265060241,0.36509695290858724,0.3537015276145711,0.4666328537480484,0.9048231009411315,8.852075048337849e-05,9.783210706192803e-05
"3B_(101, 150]",0.015436746987951807,0.3625239005736138,0.2926829268292683,0.12328200935409596,0.1149881656821862,0.00023911844570145835,0.002079504828021639
"HR_(-0.264, 88]",0.3851656626506024,0.33986527862829147,0.39589442815249265,0.48663443668272044,0.9616088101038076,0.0023134838437137706,0.00240584717964889
"HR_(88, 176]",0.4954819277108434,0.3716417910447761,0.35106382978723405,0.49997958660609243,0.9999410997964511,0.00033089441940414854,0.0003309139103008224
"HR_(176, 264]",0.11935240963855422,0.37067122702009403,0.29337539432176657,0.3242027327954297,0.5274965176148012,0.002017399926488417,0.003824480084931294
"BB_(3.169, 281]",0.04631024096385542,0.35530990919857874,0.4878048780487805,0.2101561384916582,0.27051137284749266,0.0023377285256644953,0.00864188629504478
"BB_(281, 558]",0.7097138554216867,0.3346303501945525,0.3724137931034483,0.4538943696986818,0.8690905914152223,0.0009255412465575263,0.0010649537064374153
"BB_(558, 835]",0.24397590361445784,0.3794820717131474,0.3055555555555556,0.4294783604210558,0.8015897859393994,0.0032062501102895213,0.003999863978471296
"SO_(-1.535, 511.667]",0.22326807228915663,0.35336888027144936,0.38954468802698144,0.41643659803796124,0.7660901688809616,0.0007040438818803896,0.0009190091590769219
"SO_(511.667, 1023.333]",0.5865963855421686,0.3670309653916211,0.3575096277278562,0.4924439724588281,0.9782531597476068,6.866521303938722e-05,7.019165985326653e-05
"SO_(1023.333, 1535]",0.1901355421686747,0.36634123663412366,0.3405940594059406,0.3924079736357284,0.7017549175002461,0.00032118491261545756,0.0004576881538066955
"SB_(-0.581, 193.667]",0.8957078313253012,0.35379061371841153,0.3623371164354771,0.3056391863420622,0.4824556268548237,2.1384283205083676e-05,4.432383418240958e-05
"SB_(193.667, 387.333]",0.09826807228915663,0.3615866388308977,0.36015325670498083,0.2976767680853352,0.46348134667142604,5.692698884507408e-07,1.228247679305875e-06
