,"age_(16.927, 41.333]","age_(41.333, 65.667]","age_(65.667, 90]","capital.gain_(-99.999, 33333]","capital.gain_(33333, 66666]","capital.gain_(66666, 99999]","capital.loss_(-4.356, 1452]","capital.loss_(1452, 2904]","capital.loss_(2904, 4356]","education.num_(0.985, 6]","education.num_(11, 16]","education.num_(6, 11]",education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,"fnlwgt_(10812.58, 503091.667]","fnlwgt_(503091.667, 993898.333]","fnlwgt_(993898.333, 1484705]","hours.per.week_(0.902, 33.667]","hours.per.week_(33.667, 66.333]","hours.per.week_(66.333, 99]",income==>50K,marital.status_Divorced,marital.status_Married-AF-spouse,marital.status_Married-civ-spouse,marital.status_Married-spouse-absent,marital.status_Never-married,marital.status_Separated,marital.status_Widowed,native.country_?,native.country_Cambodia,native.country_Canada,native.country_China,native.country_Columbia,native.country_Cuba,native.country_Dominican-Republic,native.country_Ecuador,native.country_El-Salvador,native.country_England,native.country_France,native.country_Germany,native.country_Greece,native.country_Guatemala,native.country_Haiti,native.country_Holand-Netherlands,native.country_Honduras,native.country_Hong,native.country_Hungary,native.country_India,native.country_Iran,native.country_Ireland,native.country_Italy,native.country_Jamaica,native.country_Japan,native.country_Laos,native.country_Mexico,native.country_Nicaragua,native.country_Outlying-US(Guam-USVI-etc),native.country_Peru,native.country_Philippines,native.country_Poland,native.country_Portugal,native.country_Puerto-Rico,native.country_Scotland,native.country_South,native.country_Taiwan,native.country_Thailand,native.country_Trinadad&Tobago,native.country_United-States,native.country_Vietnam,native.country_Yugoslavia,occupation_?,occupation_Adm-clerical,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,sex==Male,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Never-worked,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
"age_(16.927, 41.333]",1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"age_(41.333, 65.667]",-0.9265313676524363 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"age_(65.667, 90]",-0.24115215650749564 (p=0.000),-0.14167929826918443 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.gain_(-99.999, 33333]",0.039454616077837776 (p=0.000),-0.03925471156741506 (p=0.000),-0.00255283746802047 (p=0.490),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.gain_(33333, 66666]",0.003079183185791498 (p=0.405),-0.0020492132081367403 (p=0.579),-0.002815889124823751 (p=0.446),-0.2048480284931309 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.gain_(66666, 99999]",-0.04095699809274895 (p=0.000),0.04053614624757563 (p=0.000),0.003200363910605125 (p=0.386),-0.978582852500412 (p=0.000),-0.0010272106033836813 (p=0.781),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.loss_(-4.356, 1452]",0.041941739564791185 (p=0.000),-0.04027445105816626 (p=0.000),-0.0064665059386297494 (p=0.080),-0.015364590671870555 (p=0.000),0.003147406107736633 (p=0.394),0.015035524967180311 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.loss_(1452, 2904]",-0.04125400227644802 (p=0.000),0.04101298355466135 (p=0.000),0.0027518032700281163 (p=0.456),0.015302843780574804 (p=0.000),-0.0031347573787891183 (p=0.396),-0.014975100518163082 (p=0.000),-0.9959812211978547 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"capital.loss_(2904, 4356]",-0.009367794731920278 (p=0.011),-0.006566838542472501 (p=0.076),0.04158852447933521 (p=0.000),0.0013159394238034645 (p=0.722),-0.00026956759658252634 (p=0.942),-0.0012877557550633428 (p=0.727),-0.08564754192981414 (p=0.000),-0.003929867781704692 (p=0.287),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"education.num_(0.985, 6]",-0.06589341297571963 (p=0.000),0.035225750678560805 (p=0.000),0.08251230786775705 (p=0.000),0.0133927027876819 (p=0.000),0.01097577888102847 (p=0.003),-0.015991209480130657 (p=0.000),0.023825849277769543 (p=0.000),-0.024521972728712677 (p=0.000),0.006768487949696213 (p=0.067),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
