,mean,mean|f=0,mean|f=1,std,H,IG,IG ratio
income==>50K,0.2408095574460244,0.0,1.0,0.42757492266129055,0.7963839552022132,0.7963839552022132,1.0
marital.status_Married-civ-spouse,0.4599367341297872,0.06533977822007393,0.4468482905982906,0.4983923501898286,0.9953637921848038,0.1521065615074556,0.15281504380783706
relationship_Husband,0.40517797364945796,0.09928748451053283,0.448571212006367,0.49092645408327834,0.973899044263802,0.1166806175884404,0.11980771341309056
marital.status_Never-married,0.328091889069746,0.3359539263186763,0.04596087241411589,0.4695184782268671,0.9129649750399598,0.08937600244458954,0.09789641978398747
"education.num_(11, 16]",0.2805196400601947,0.15652879156528793,0.45697394350777315,0.449253126422868,0.8561578907403234,0.06701285088245901,0.07827160341244149
relationship_Own-child,0.1556463253585578,0.28276288509802494,0.013220205209155485,0.3625197191339175,0.6237916932682941,0.05513418401537906,0.08838556943025168
sex==Male,0.6692054912318418,0.10946058861758426,0.3057365764111978,0.4704992048206482,0.9157360598501509,0.03717138743832116,0.04059181358917307
"education.num_(6, 11]",0.6382482110500292,0.36717887766363866,0.16918487152343373,0.48050747355418255,0.944127704418007,0.034682540180909216,0.03673500948930286
"age_(41.333, 65.667]",0.35247688953041983,0.1707455890722823,0.3695216519996515,0.47774149063845583,0.9362606962694084,0.03444210696113359,0.036786876879880144
"age_(16.927, 41.333]",0.6119590921654741,0.35409576573011475,0.16897520827060122,0.4873039725689254,0.9635236329605346,0.031478021424565905,0.03266969314270596
"hours.per.week_(0.902, 33.667]",0.17060286846227082,0.27608679552691995,0.06930693069306931,0.37616157397420813,0.6590820301961947,0.029357973398660198,0.04454373212075127
occupation_Exec-managerial,0.12487331470163693,0.2061063344446394,0.4840137727496311,0.33057521077209995,0.5432086867259308,0.029282573452460436,0.05390667374808495
relationship_Not-in-family,0.2550597340376524,0.2879699868073879,0.10307043949428056,0.4358947878908498,0.819199559495122,0.029117443644871344,0.03554377356210569
occupation_Other-service,0.10119468075304812,0.2632406205152737,0.04157814871016692,0.3015863348037684,0.47277124276054994,0.023693702847185083,0.05011663295938986
occupation_Prof-specialty,0.12714597217530174,0.21047816755216214,0.44903381642512075,0.33313641940630173,0.549558724341998,0.022189475720309715,0.040376896476127806
education_Bachelors,0.16446055096587942,0.20657207968830404,0.4147525676937442,0.37069297018133623,0.6448746123027119,0.02136832197999028,0.033135622913869234
"hours.per.week_(33.667, 66.333]",0.8046743036147539,0.10518867924528302,0.2737300103049502,0.3964512185842585,0.7124803996892122,0.020234920050042682,0.02840066906944986
relationship_Unmarried,0.10583213046282362,0.26182380216383305,0.0632617527568195,0.3076226432247105,0.48721496688781785,0.01867383102255027,0.03832770397394207
education_Masters,0.05291606523141181,0.22316622349049872,0.5565873476494486,0.22386593146749137,0.29865736652294517,0.018579696110284427,0.06221074111311763
"education.num_(0.985, 6]",0.08123214888977612,0.2570530819628293,0.057088846880907373,0.273191300880036,0.40650593270314894,0.015260281768826989,0.03754012067511648
education_Prof-school,0.0176898743896072,0.23192121306862593,0.734375,0.1318216322675453,0.12826558135849697,0.014087346836204606,0.10982951690548268
"capital.loss_(1452, 2904]",0.04370258898682473,0.2271501059798317,0.5397048489107519,0.2044325627258807,0.25901817313239683,0.013652790828008632,0.05270977963785585
"capital.loss_(-4.356, 1452]",0.9559595835508737,0.5376569037656904,0.2271339994217239,0.2051849365039698,0.2605201040476087,0.013584673609913223,0.05214443491635752
marital.status_Divorced,0.1364515831823347,0.2623941958887545,0.10420886788206167,0.34326745932201685,0.5748698497717624,0.013550500825446177,0.0235714237419584
education_HS-grad,0.32250238014802984,0.27951042611060745,0.15950861822683554,0.4674340541155302,0.9070819733171531,0.013083784632735407,0.014424037758008424
workclass_Self-emp-inc,0.034274131629863945,0.22957544919701064,0.557347670250896,0.1819324477130804,0.21539304359493738,0.011805568511155995,0.05480942334125351
education_Doctorate,0.012683885630048217,0.2343847206669155,0.7409200968523002,0.11190623161994565,0.0981018142266817,0.010302524304564575,0.1050186929342485
"capital.gain_(66666, 99999]",0.004883142409631154,0.23708413060922165,1.0,0.06970866036469701,0.04452029925193018,0.010084834872491677,0.22652217172719136
relationship_Wife,0.04815576917170849,0.22895492530571418,0.47512755102040816,0.21409528501862946,0.2785105339085574,0.009506918021902955,0.0341348597788561
"capital.gain_(-99.999, 33333]",0.9949018764779951,0.9578313253012049,0.2371353603951227,0.0712189066087719,0.046162637796536815,0.008883289976760134,0.19243462680606546
occupation_Handlers-cleaners,0.04207487485028101,0.24862941233047994,0.06277372262773723,0.2007600053711201,0.2517258469496354,0.007091723572011155,0.028172409221966177
education_11th,0.03608611529129941,0.24791308226597847,0.05106382978723404,0.1865044438464571,0.22404995221434926,0.007088799033864945,0.03163936864884073
relationship_Other-relative,0.03012806731979976,0.24711842938568715,0.03771661569826707,0.1709396585914626,0.19503370307685539,0.0070273446344201185,0.03603143725190363
occupation_Adm-clerical,0.11578268480697768,0.2547323816470425,0.13448275862068965,0.31996414596935097,0.5171155778632274,0.006531031313791846,0.012629732294623018
race_Black,0.0959429992936335,0.2532187383225193,0.12387964148527529,0.29451305604356726,0.4560016659348658,0.006517457507864921,0.014292617757225167
race_White,0.8542735173981143,0.15258166491043204,0.2558599367270636,0.35283179401851966,0.5990416807577884,0.005702613955947733,0.009519561224410828
occupation_?,0.056601455729246644,0.24903965101894654,0.10363537710255019,0.23107949051907845,0.3138035561665843,0.005272497671217069,0.01680190542014806
workclass_?,0.05638647461687295,0.24898291293734745,0.10403050108932461,0.2306665127346407,0.3129303321375127,0.005217682463545925,0.0166736232563518
marital.status_Separated,0.03147937716900587,0.24654363267376966,0.06439024390243903,0.17460935250457188,0.20175745312477344,0.005145990274839529,0.025505824915707475
education_10th,0.02865391112066583,0.24595295307954976,0.06645230439442658,0.16683184497613793,0.18759570712466078,0.004542443997985757,0.024214008239363493
workclass_Private,0.6970301894904948,0.2917384693360365,0.21867289390200917,0.45954227708597567,0.8848909340231308,0.004345022322508996,0.004910234872397752
occupation_Machine-op-inspct,0.0614845981388778,0.24840472528551327,0.12487512487512488,0.24021707335355477,0.33331024480682603,0.0039698514016338615,0.011910379184218105
native.country_Mexico,0.019747550750898315,0.24462685631931824,0.05132192846034215,0.13913153844555082,0.14002075802247088,0.0038180371096986354,0.02726765062281628
marital.status_Widowed,0.030496606369583245,0.24569183983781043,0.08559919436052367,0.17194930464967595,0.1968762332292857,0.0036789949451133674,0.01868684139658819
education_7th-8th,0.019839685513344186,0.2444305185649381,0.06191950464396285,0.13944917494224096,0.14053947485417873,0.0033245238076067274,0.023655444927883747
education_Some-college,0.22391818433094807,0.2554016620498615,0.19023453572898094,0.4168678820164427,0.7672577294775815,0.003026069235226858,0.003944006191097325
education_9th,0.01578575596572587,0.24382937560458076,0.05252918287937743,0.12464576155781919,0.11707475079335877,0.002994185603112043,0.025574990190642303
workclass_Federal-gov,0.029483123982678664,0.23638492452770482,0.38645833333333335,0.16915634597294424,0.19179309055765373,0.0022919831776011534,0.011950290654043008
occupation_Farming-fishing,0.0305273179570652,0.24474926347134665,0.11569416498993963,0.17203313871291448,0.19702947718044012,0.0022652329282182304,0.011496924016824773
education_5th-6th,0.010226958631491662,0.24280129080302842,0.04804804804804805,0.10060997936902386,0.08229400018559102,0.002050777047940433,0.024920128360700428
education_12th,0.013298117379687356,0.24302788844621515,0.07621247113163972,0.11454814469842443,0.10193929652678574,0.0018147176124988507,0.01780194365008211
marital.status_Married-spouse-absent,0.012837443567458001,0.2428833649628224,0.08133971291866028,0.11257283691067957,0.0990651804020535,0.0016256208943145056,0.01640960918575997
occupation_Priv-house-serv,0.004576026534811584,0.24188572133777614,0.006711409395973154,0.06749138104946449,0.04215013713977245,0.0016083655395826568,0.03815801439148864
