No,Cost,Feature,Name,Description
1,0,"age_(16.927, 41.333]",17 - 41 Jahre alt,"Du erhältst die Information, ob die Person genau zwischen 17 und 41 Jahre alt ist (JA) oder jünger/älter ist (NEIN)."
2,0,"age_(41.333, 65.667]",Älter als 41,"Du erhältst die Information, ob die Person älter als 41 Jahre ist (JA) oder jünger als das (NEIN)."
3,0,"capital.loss_(2904, 4356]",Börsenverlust höher als CHF 2900,"Du erhältst die Information, ob die Person im letzten Jahr mehr als CHF 2900 an der Börse verloren hat (JA) oder weniger als das (NEIN)."
4,0,"education.num_(11, 16]",11+ Jahre Ausbildung,"Du erhältst die Information, ob die Person 11 oder mehr Jahre in ihre Ausbildung investiert hat (JA) oder weniger als das (NEIN)."
5,0,"education.num_(6, 11]",6 - 11 Jahre Ausbildung,"Du erhältst die Information, ob die Person zwischen 6 und 11 Jahren in ihre Ausbildung investiert hat (JA) oder mehr/weniger als das. Es zählen Ausbildungen von Primarschule bis zum Postdoc."
6,0,education_Assoc-acdm,Akademische Weiterbildung ohne Bachelor,"Du erhältst die Information, ob die Person eine zweijährige akademische Ausbildung an einer Universität/Fachhochschule absolviert hat (JA) oder nicht (NEIN)."
7,0,education_Assoc-voc,Berufsweiterbildung,"Du erhältst die Information, ob die Person eine zweijährige berufsspezifische Weiterbildung absolviert hat (an einer Hochschule / Berufsfachschule, nicht an der Universität) (JA) oder nicht (NEIN)."
8,0,"hours.per.week_(0.902, 33.667]",Arbeitszeit weniger als 34h / Woche,"Du erhältst die Information, ob die Person weniger als 34 Stunden pro Woche arbeitet (JA) oder mehr als das (NEIN). Hausarbeiten zählen nicht als Arbeitsstunden."
9,0,marital.status_Married-civ-spouse,Verheiratet mit Zivilperson,"Du erhältst die Information, ob der Ehepartner der Person nicht bei der Armee arbeitet (JA) oder nicht (NEIN). Falls die Person nicht verheiratet ist, kann die Antwort hierfür nicht JA sein"
10,0,marital.status_Never-married,Nie verheiratet,"Du erhältst die Information, ob die Person noch nie verheiratet war (er/sie darf in einer Beziehung sein) (JA) oder ob sie verheiratet ist/war (NEIN)."
11,0,native.country_Hungary,Von Ungarn,"Du erhältst die Information, ob die Person von Ungarn stammt / ungarische Wurzeln hat (JA) oder nicht (NEIN)."
12,0,native.country_Ireland,Von Irland,"Du erhältst die Information, ob die Person von Irland stammt / irische Wurzeln hat (JA) oder nicht (NEIN)."
13,0,native.country_Scotland,Von Schottland,"Du erhältst die Information, ob die Person von Schottland stammt / schottische Wurzeln hat (JA) oder nicht (NEIN)."
14,0,occupation_Armed-Forces,Arbeitet für das Militär,"Du erhältst die Information, ob die Person für das Militär arbeitet (egal welchen Grad oder welche Position die Person hat) (JA) oder nicht (NEIN)."
15,0,relationship_Husband,Ist ein Ehemann,"Du erhältst die Information, ob die Person ein verheirateter Mann ist (JA) oder weiblich / nicht verheiratet ist (NEIN)."
16,0,relationship_Own-child,Hat Kinder,"Du erhältst die Information, ob die Person mindestens ein Kind hat (JA) oder nicht (NEIN)."
17,0,sex==Male,Ist Männlich,"Du erhältst die Information, ob die Person männlich oder weiblich ist."
