,1,2,3,4,5,6,7,8
17 - 41 Jahre alt,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
Älter als 41,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
Börsenverlust höher als CHF 2900,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
11+ Jahre Ausbildung,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
6 - 11 Jahre Ausbildung,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
Akademische Weiterbildung ohne Bachelor,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0
Berufsweiterbildung,1.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0
Arbeitszeit weniger als 34h / Woche,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
Verheiratet mit Zivilperson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nie verheiratet,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
Von Irland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Arbeitet für das Militär,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
Ist ein Ehemann,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Hat Kinder,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
Ist Männlich,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0
