,bestvalue,AUC,features,count_features_ratio
10,0.153404817,0.722114201968,"['electricity consumption_[90210000, 7952000000]']",0.07692307692307693
20,0.2490224996,0.706253993355,"['internet users_[14400, 1167666.667]']",0.07692307692307693
30,0.4024273166,0.77586341328,"['electricity consumption_[90210000, 7952000000]', 'internet users_[14400, 1167666.667]']",0.15384615384615385
40,0.4920870118,0.808739224597,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'internet users_[14400, 1167666.667]']",0.23076923076923078
50,0.581746707,0.803377147094,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'internet users_[14400, 1167666.667]']",0.3076923076923077
60,0.6397401085,0.810391974421,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'internet users_[14400, 1167666.667]']",0.38461538461538464
70,0.7212109021,0.819963264461,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5']",0.46153846153846156
80,0.7792043036,0.825577538975,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5']",0.5384615384615384
90,0.8190594989,0.821242618949,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]']",0.5384615384615384
100,0.8688639988,0.826465295082,"['electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5']",0.6153846153846154
110,0.9250786276,0.826509338461,"['education expenditures_(4.133, 5.6]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5']",0.6923076923076923
120,0.9250786276,0.826509338461,"['education expenditures_(4.133, 5.6]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5']",0.6923076923076923
130,0.9731901376,0.826876477541,"['education expenditures_(4.133, 5.6]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5', 'unemployment rate_[0.3, 6.433]']",0.7692307692307693
140,0.9731901376,0.826876477541,"['education expenditures_(4.133, 5.6]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5', 'unemployment rate_[0.3, 6.433]']",0.7692307692307693
150,0.9731901376,0.826876477541,"['education expenditures_(4.133, 5.6]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption per person_[26.757, 1320.325]', 'electricity consumption per person_(4244.0286, 48501.33]', 'electricity consumption_[90210000, 7952000000]', 'exports_(77193333333.333, 1580000000000]', 'exports_(77193333333.333, 1580000000000]', 'internet users_[14400, 1167666.667]', 'region_5', 'unemployment rate_[0.3, 6.433]']",0.7692307692307693
