medals,region_1.0,region_2.0,region_3.0,region_4.0,region_5.0,region_6.0,"education expenditures_(5.6, 12.8]","education expenditures_(4.133, 5.6]","education expenditures_[0.6, 4.133]","electricity consumption per person_(1320.325, 4244.0286]","electricity consumption per person_(4244.0286, 48501.33]","electricity consumption per person_[26.757, 1320.325]","electricity consumption_(55576666666.667, 3890000000000]","electricity consumption_(7952000000, 55576666666.667]","electricity consumption_[90210000, 7952000000]","exports_(10071333333.333, 77193333333.333]","exports_(77193333333.333, 1580000000000]","exports_[1163000, 10071333333.333]","inflation rate_(1.9, 4.2]","inflation rate_[-0.8, 1.9]","inflation rate_(4.2, 56.2]","internet users_(6149000, 245000000]","internet users_[14400, 1167666.667]","internet users_(1167666.667, 6149000]","public debt_[3.3, 37.7]","public debt_(61.733, 226.1]","public debt_(37.7, 61.733]","unemployment rate_(6.433, 13.3]","unemployment rate_(13.3, 85]","unemployment rate_[0.3, 6.433]"
1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
1,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
