,p,p|f=0,p|f=1,std,H,IG,IG ratio
medals,0.43146603098927294,0.0,1.0,0.49528082447399463,0.9864048387726609,0.9864048387726609,1.0
region_1,0.13587604290822408,0.3682758620689655,0.8333333333333334,0.3426568894270599,0.5733357958284457,0.07773574888815526,0.13558502618143775
region_2,0.1430274135876043,0.37273991655076494,0.7833333333333333,0.3501008034124505,0.5921127512993258,0.06207438207581795,0.10483540835694315
region_3,0.16090584028605484,0.45170454545454547,0.32592592592592595,0.36744407853153915,0.6364722148349133,0.006428121873384374,0.0100996111433579
region_4,0.10011918951132301,0.4278145695364238,0.4642857142857143,0.30015885361407946,0.4693733015795027,0.0003507363023512733,0.0007472438273992143
region_5,0.26460071513706795,0.5316045380875203,0.15315315315315314,0.4411203653040957,0.8336098569774699,0.08968914998889532,0.10759127814790147
region_6,0.19547079856972585,0.4533333333333333,0.34146341463414637,0.3965626879526637,0.712776677655978,0.0058910129722696825,0.008264878968322505
"education expenditures_[0.6, 4.133]",0.2205005959475566,0.4434250764525994,0.3891891891891892,0.41458422923976385,0.7610805235968392,0.00149675047963993,0.0019666125110735207
"education expenditures_(5.6, 12.8]",0.14779499404052443,0.427972027972028,0.45161290322580644,0.3548966522483463,0.604294657020294,0.0002064109399916303,0.0003415733327999596
"education expenditures_(4.133, 5.6]",0.6090584028605482,0.4176829268292683,0.44031311154598823,0.487961335318183,0.9654045066688388,0.0003589503209528999,0.0003718133885571658
"electricity consumption per person_(1320.325, 4244.0286]",0.25148986889153757,0.38057324840764334,0.5829383886255924,0.433869467393655,0.8136309824169892,0.022523221111967695,0.027682354284321555
"electricity consumption per person_[26.757, 1320.325]",0.4612634088200238,0.6216814159292036,0.20930232558139536,0.49849721815046844,0.9956660628479859,0.12951423029306985,0.13007798008361318
"electricity consumption per person_(4244.0286, 48501.33]",0.24076281287246723,0.3249607535321821,0.7673267326732673,0.42754658320492445,0.7963065109605314,0.10729958692410091,0.1347465899715834
"electricity consumption_(7952000000, 55576666666.667]",0.2634088200238379,0.3656957928802589,0.6153846153846154,0.44048225112651973,0.8318468849804552,0.03542660696137978,0.0425878939995215
"electricity consumption_[90210000, 7952000000]",0.4600715137067938,0.6335540838852097,0.19430051813471502,0.4984031661038435,0.9953949669160764,0.14777810305263328,0.14846177443560726
"electricity consumption_(55576666666.667, 3890000000000]",0.2026221692491061,0.32286995515695066,0.8588235294117647,0.40195326317607305,0.7271415353950716,0.14380190748481503,0.1977632970817495
"exports_(10071333333.333, 77193333333.333]",0.22646007151370678,0.3605546995377504,0.6736842105263158,0.41854021016350745,0.7717891874310975,0.05051450968971816,0.06545117567383374
"exports_[1163000, 10071333333.333]",0.5840286054827175,0.7507163323782235,0.20408163265306123,0.49288862176016035,0.9795298180102306,0.22305885048069873,0.2277203270175171
"exports_(77193333333.333, 1580000000000]",0.1799761620977354,0.34011627906976744,0.847682119205298,0.3841675977673077,0.6800248945123735,0.1171450243850245,0.172265788106222
"inflation rate_[-0.8, 1.9]",0.1728247914183552,0.41210374639769454,0.5241379310344828,0.3780957324402876,0.6641260901400872,0.005230889596161581,0.007876350099509275
"inflation rate_(1.9, 4.2]",0.31227651966626935,0.4055459272097054,0.48854961832061067,0.4634219404941815,0.8957838551582316,0.0043333391420024014,0.004837482967626112
"inflation rate_(4.2, 56.2]",0.4767580452920143,0.510250569476082,0.345,0.49945951942209893,0.998440783782002,0.02016387436851863,0.02019536330651451
"internet users_(1167666.667, 6149000]",0.20143027413587605,0.3597014925373134,0.7159763313609467,0.40106872079161043,0.7247794367772137,0.0603982739939215,0.0833333162189134
"internet users_[14400, 1167666.667]",0.433849821215733,0.6105263157894737,0.1978021978021978,0.49560483638359554,0.9873368835613694,0.12908430186638864,0.130739876141136
"internet users_(6149000, 245000000]",0.3063170441001192,0.34192439862542956,0.6342412451361867,0.4609630273610725,0.8888762749148555,0.05341223429990816,0.060089616302363855
"public debt_[3.3, 37.7]",0.23122765196662692,0.4015503875968992,0.5309278350515464,0.42161762882097914,0.7801452455713485,0.008684144040359332,0.011131445188773018
"public debt_(37.7, 61.733]",0.5804529201430274,0.53125,0.3593429158110883,0.49348488086309544,0.9812423791115406,0.021174885150250122,0.021579668388785635
"public debt_(61.733, 226.1]",0.17878426698450536,0.409288824383164,0.5333333333333333,0.3831715710531216,0.677410239334175,0.006584536248608441,0.009720160496954353
"unemployment rate_(13.3, 85]",0.45530393325387364,0.5711159737417943,0.2643979057591623,0.497998254632914,0.9942280438591393,0.07027483367151466,0.07068281176091135
"unemployment rate_[0.3, 6.433]",0.26817640047675806,0.38599348534201955,0.5555555555555556,0.44300995327880294,0.8388356976017739,0.016486376758696353,0.01965388073711074
"unemployment rate_(6.433, 13.3]",0.265792610250298,0.3685064935064935,0.6053811659192825,0.44175434189901724,0.8353622963274429,0.03204972090177127,0.03836625263394521
