,"education expenditures_(4.133, 5.6]","education expenditures_(5.6, 12.8]","education expenditures_[0.6, 4.133]","electricity consumption per person_(1320.325, 4244.0286]","electricity consumption per person_(4244.0286, 48501.33]","electricity consumption per person_[26.757, 1320.325]","electricity consumption_(55576666666.667, 3890000000000]","electricity consumption_(7952000000, 55576666666.667]","electricity consumption_[90210000, 7952000000]","exports_(10071333333.333, 77193333333.333]","exports_(77193333333.333, 1580000000000]","exports_[1163000, 10071333333.333]","inflation rate_(1.9, 4.2]","inflation rate_(4.2, 56.2]","inflation rate_[-0.8, 1.9]","internet users_(1167666.667, 6149000]","internet users_(6149000, 245000000]","internet users_[14400, 1167666.667]",medals,"public debt_(37.7, 61.733]","public debt_(61.733, 226.1]","public debt_[3.3, 37.7]",region_1,region_2,region_3,region_4,region_5,region_6,"unemployment rate_(13.3, 85]","unemployment rate_(6.433, 13.3]","unemployment rate_[0.3, 6.433]"
"education expenditures_(4.133, 5.6]",0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"education expenditures_(5.6, 12.8]",-0.5197941050544208 (p=0.000),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"education expenditures_[0.6, 4.133]",-0.6638508539510133 (p=0.000),-0.22149035117467364 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption per person_(1320.325, 4244.0286]",0.030900194500717383 (p=0.180),-0.024651964905857398 (p=0.285),0.009769535419018162 (p=0.672),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption per person_(4244.0286, 48501.33]",-0.0001702343653022277 (p=0.994),0.04041781058574493 (p=0.080),-0.0439839231252948 (p=0.057),-0.32641294538210003 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption per person_[26.757, 1320.325]",-0.03775691110104645 (p=0.102),-0.02153625625367033 (p=0.350),0.04421265521314237 (p=0.055),-0.5363492416238453 (p=0.000),-0.5210653972846923 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption_(55576666666.667, 3890000000000]",-0.027588372495925963 (p=0.232),0.05744124821165466 (p=0.013),-0.017774353013661637 (p=0.441),0.035858446375136396 (p=0.120),0.3680702884319832 (p=0.000),-0.3415257412487576 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption_(7952000000, 55576666666.667]",0.0077528300841457 (p=0.737),-0.08129702551374723 (p=0.000),0.06049883144681588 (p=0.009),0.1523033088095445 (p=0.000),0.11259957661751988 (p=0.000),-0.17879695147395216 (p=0.000),-0.3014486207300663 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,
"electricity consumption_[90210000, 7952000000]",-0.010274855293771009 (p=0.656),0.033362598988822795 (p=0.148),0.005115115491200583 (p=0.824),-0.09411549786348603 (p=0.000),-0.3296423566436077 (p=0.000),0.32598590559213464 (p=0.000),-0.465324536187377 (p=0.000),-0.5520093712322822 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,
"exports_(10071333333.333, 77193333333.333]",0.0016276811598043264 (p=0.944),-0.05681938647970439 (p=0.014),0.04193394168320298 (p=0.069),0.10644132405512222 (p=0.000),0.12825148799987302 (p=0.000),-0.15218544192330927 (p=0.000),0.04606362229323736 (p=0.046),0.4457807876231669 (p=0.000),-0.36232840530596483 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,
"exports_(77193333333.333, 1580000000000]",-0.04430255223790189 (p=0.055),0.04968092696682497 (p=0.031),0.00527144949247949 (p=0.819),-0.02127359263436533 (p=0.356),0.49812874944977537 (p=0.000),-0.3650298007226748 (p=0.000),0.6592045966558899 (p=0.000),-0.04067435869616201 (p=0.078),-0.432452892088802 (p=0.000),-0.2534829230711077 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,
"exports_[1163000, 10071333333.333]",0.022604782715314683 (p=0.327),0.01758260759495433 (p=0.446),-0.035260929226363834 (p=0.126),-0.08488502497793665 (p=0.000),-0.4975755720129056 (p=0.000),0.4219398582525617 (p=0.000),-0.5431610645257128 (p=0.000),-0.34075703444775934 (p=0.000),0.648038766705053 (p=0.000),-0.641120669505055 (p=0.000),-0.5551106775499633 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,
"inflation rate_(1.9, 4.2]",0.0865817423930136 (p=0.000),-0.04146954690003885 (p=0.072),-0.05441335600393954 (p=0.018),-0.03491749979839237 (p=0.130),0.17397163465986404 (p=0.000),-0.1178973838460329 (p=0.000),0.0634294038547524 (p=0.006),0.04663486150144496 (p=0.043),-0.11630817018769175 (p=0.000),0.0716969411332489 (p=0.002),0.08600366012723178 (p=0.000),-0.14618773920794548 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,
"inflation rate_(4.2, 56.2]",-0.1399822478776634 (p=0.000),0.032827199062145866 (p=0.155),0.13123669143964314 (p=0.000),0.04622398774664735 (p=0.045),-0.38124801883781373 (p=0.000),0.26565990679599905 (p=0.000),-0.1368395951232517 (p=0.000),-0.056145758870308995 (p=0.015),0.17223215131956057 (p=0.000),-0.03183817683504225 (p=0.167),-0.21735354321486214 (p=0.000),0.21007006334462844 (p=0.000),-0.6432213846716984 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,
"inflation rate_[-0.8, 1.9]",0.049657090364554096 (p=0.031),0.022825545042783012 (p=0.322),-0.09103564348715841 (p=0.000),-0.032448819918470394 (p=0.159),0.2808386427100037 (p=0.000),-0.18897334165810928 (p=0.000),0.09897207526109818 (p=0.000),-0.008546998166597371 (p=0.711),-0.06141737160837612 (p=0.008),-0.021365549742531437 (p=0.354),0.1633217540768958 (p=0.000),-0.1067066533586012 (p=0.000),-0.30801155193894925 (p=0.000),-0.43631686629912086 (p=0.000),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,
"internet users_(1167666.667, 6149000]",-0.09702269440778635 (p=0.000),0.1257951152543446 (p=0.000),-0.0018966949261910336 (p=0.934),0.058208676755089575 (p=0.012),0.1967851463914465 (p=0.000),-0.172606767306641 (p=0.000),0.03516927815376838 (p=0.127),0.38107949467431823 (p=0.000),-0.2906910463637964 (p=0.000),0.3104875102707009 (p=0.000),0.08187466185570051 (p=0.000),-0.3177517451253122 (p=0.000),-0.01779359371819099 (p=0.440),-0.027204176824573933 (p=0.238),0.06124920079829224 (p=0.008),1.0 (p=0.000),,,,,,,,,,,,,,,
"internet users_(6149000, 245000000]",0.2144574308791102 (p=0.000),-0.12373497331460377 (p=0.000),-0.14137899368052043 (p=0.000),0.008147311372049519 (p=0.724),0.12170316948545 (p=0.000),-0.12212435852093977 (p=0.000),0.469115076724539 (p=0.000),-0.1156173576792305 (p=0.000),-0.250255631431934 (p=0.000),-0.019770474248388 (p=0.391),0.38866378056439993 (p=0.000),-0.2732889845298502 (p=0.000),0.09900787830990591 (p=0.000),-0.1476811198552103 (p=0.000),0.06554178602096442 (p=0.004),-0.33374211996136033 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,
"internet users_[14400, 1167666.667]",-0.12172109263432321 (p=0.000),0.008149478270796939 (p=0.724),0.16090201143238386 (p=0.000),-0.030720933394570032 (p=0.183),-0.21733512610976397 (p=0.000),0.20310615735121204 (p=0.000),-0.4293148423008374 (p=0.000),-0.14130318871917305 (p=0.000),0.48992891771235964 (p=0.000),-0.18060507641958115 (p=0.000),-0.37880736982894997 (p=0.000),0.44603040451274484 (p=0.000),-0.07093354019053731 (p=0.002),0.1514823081606067 (p=0.000),-0.12026838196563884 (p=0.000),-0.43965279452417266 (p=0.000),-0.581713250374323 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,
medals,0.02229574537757567 (p=0.334),0.016940020831005164 (p=0.463),-0.04539918043892775 (p=0.049),0.17727327864681894 (p=0.000),0.38186833320013436 (p=0.000),-0.41505711346714574 (p=0.000),0.434961899264716 (p=0.000),0.22206289681143263 (p=0.000),-0.4420227012118955 (p=0.000),0.26461208442046774 (p=0.000),0.393696545229064 (p=0.000),-0.5439944581742282 (p=0.000),0.0776644879067294 (p=0.001),-0.16664479207812727 (p=0.000),0.08552652355072396 (p=0.000),0.288504393459991 (p=0.000),0.2720623368759485 (p=0.000),-0.4129941214338061 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,
