No,Cost,Feature,Name,Description
1,0,"education expenditures_(4.133, 5.6]",Mittlere Ausgaben für Bildung,"Du erhälst die Information, ob das Land zwischen 4% und 6% seines BIP für Bildung ausgibt (JA) oder weniger/mehr als das (NEIN). 4% - 6% ist ein durchschnittlicher Wert, weder speziell wenig, noch speziell viel."
2,0,"electricity consumption per person_(4244.0286, 48501.33]",Hoher Elektrizitätsverbrauch / Person,"Du erhälst die Information, ob ein durchschnittlicher Bürger des Landes viel Elektrizität verbraucht (mehr als 4200kWh pro Jahr) (JA) oder weniger als das (NEIN)."
3,0,"electricity consumption per person_[26.757, 1320.325]",Tiefer Elektrizitätsverbrauch / Person,"Du erhälst die Information, ob ein durchschnittlicher Bürger des Landes wenig Elektrizität verbraucht (weniger als 1300kWh pro Jahr) (JA) oder mehr als das (NEIN)."
4,0,"electricity consumption_(55576666666.667, 3890000000000]",Hoher totaler Elektrizitätsverbrauch,"Du erhälst die Information, ob das Land insgesamt viel Elektrizität verbraucht (mehr als 56 Milliarden kWh pro Jahr) (JA) oder weniger als das (NEIN)."
5,0,"electricity consumption_[90210000, 7952000000]",Tiefer totaler Elektrizitätsverbrauch,"Du erhälst die Information, ob das Land insgesamt wenig Elektrizität verbraucht (weniger als 8 Milliarden kWh pro Jahr) (JA) oder mehr als das (NEIN)."
6,0,"exports_(77193333333.333, 1580000000000]",Hohe Exporte,"Du erhälst die Information, ob das Land viel Waren exportiert (mehr als CHF 78 Milliarden) (JA) oder weniger als das (NEIN)."
7,0,"exports_[1163000, 10071333333.333]",Tiefe Exporte,"Du erhälst die Information, ob das Land wenig Waren exportiert (weniger als CHF 10 Milliarden) (JA) oder mehr als das (NEIN)."
8,0,"inflation rate_(1.9, 4.2]",Mittlere Inflationsrate,"Du erhälst die Information, ob das Land eine Inflationsrate zwischen 2% und 4% seines BIP hat (JA) oder weniger/mehr als das (NEIN). 2% - 4% ist ein durchschnittlicher Wert, weder speziell wenig, noch speziell viel."
9,0,"internet users_[14400, 1167666.667]",Weniger Internet-Benutzer,"Du erhälst die Information, ob das Land eine tiefe Anzahl von Internet-Benutzern hat (weniger als 1,2 Millionen) (JA) oder mehr als das (NEIN)."
10,0,"public debt_(61.733, 226.1]",Hohe Verschuldung,"Du erhälst die Information, ob das Land hohe Staatsschulden hat (mehr als 62% des BIP) (JA) oder weniger als das (NEIN)."
11,0,region_3,In Asien,"Du erhälst die Information, ob das Land in Asien liegt (JA) oder nicht (NEIN)."
12,0,region_5,In der Sub-Sahara Region,"Du erhälst die Information, ob das Land in Sub-Sahara Region liegt (JA) oder nicht (NEIN). Damit sind alle afrikanischen Länder gemeint, die südlich der Sahara Wüste liegen."
13,0,"unemployment rate_[0.3, 6.433]",Tiefe Arbeitslosenrate,"Du erhälst die Information, ob das Land eine tiefe Arbeitslosenrate hat (weniger als 6%) (JA) oder mehr als das (NEIN)."
