,1,2,3,4,5,6,7,8
Mittlere Ausgaben für Bildung,0.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0
Hoher Elektrizitätsverbrauch / Person,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Tiefer Elektrizitätsverbrauch / Person,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hoher totaler Elektrizitätsverbrauch,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Tiefer totaler Elektrizitätsverbrauch,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Hohe Exporte,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0
Tiefe Exporte,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Mittlere Inflationsrate,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0
Weniger Internet-Benutzer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Hohe Verschuldung,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
In Asien,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
In der Sub-Sahara Region,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
Tiefe Arbeitslosenrate,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
