"electricity consumption_[16.0455, 20.243]_1","Among 10 countries *whose electricity consumption is less than 20.243*, how many won one or more medals in the last Olympics?"
"electricity consumption_[16.0455, 20.243]_0","Among 10 countries *whose electricity consumption is more than 20.243*, how many won one or more medals in the last Olympics?"
"electricity consumption_(24.87, 29.302]_1","Among 10 countries *whose electricity consumption is more than 24.87*, how many won one or more medals in the last Olympics?"
"electricity consumption_(24.87, 29.302]_1","Among 10 countries *whose electricity consumption is less than 24.87*, how many won one or more medals in the last Olympics?"
"internet users_[6.909, 11.367]_1","Among 10 countries *whose number of internet users is lower than 11.367*, how many won one or more medals in the last Olympics?"
"internet users_[6.909, 11.367]_0","Among 10 countries *whose number of internet users is higher than 11.367*, how many won one or more medals in the last Olympics?"
"exports_(25.0508, 28.424]_1","Among 10 countries *whose exports are higher than 25.0508*, how many won one or more medals in the last Olympics?"
"exports_(25.0508, 28.424]_0","Among 10 countries *whose exports are lower than 25.0508*, how many won one or more medals in the last Olympics?"
"internet users_(15.631, 19.779]_1","Among 10 countries *whose number of internet users is higher than 15.631*, how many won one or more medals in the last Olympics?"
"internet users_(15.631, 19.779]_0","Among 10 countries *whose the number of internet users is lower than 15.631*, how many won one or more medals in the last Olympics?"
continent_4_1,"Among 10 countries *which belong to Europe*, how many won one or more medals in the last Olympics?"
continent_4_0,"Among 10 countries *which do not belong to Europe*, how many won one or more medals in the last Olympics?"
"exports_[13.816, 20.226]_1","Among 10 countries *whose exports are lower than 20.226*, how many won one or more medals in the last Olympics?"
"exports_[13.816, 20.226]_0","Among 10 countries *whose exports are higher than 20.226*, how many won one or more medals in the last Olympics?"
"oil imports_[0.00995, 8.572]_1","Among 10 countries *whose oil import is lower than 8.572*, how many won one or more medals in the last Olympics?"
"oil imports_[0.00995, 8.572]_0","Among 10 countries *whose oil import is higher than 8.572*, how many won one or more medals in the last Olympics?"
"ln_pop_[9.894, 14.0683]_1","Among 10 countries *whose population is less than 14.0683*, how many won one or more medals in the last Olympics?"
"ln_pop_[9.894, 14.0683]_0","Among 10 countries *whose population is more than 14.0683*, how many won one or more medals in the last Olympics?"
"oil imports_(12.591, 16.434]_1","Among 10 countries *whose oil import is higher than 12.591*, how many won one or more medals in the last Olympics?"
"oil imports_(12.591, 16.434]_0","Among 10 countries *whose oil import is lower than 12.591*, how many won one or more medals in the last Olympics?"
"ln_pop_(15.381, 16.16]_1","Among 10 countries *whose population is between 15.381 and 16.16*, how many won one or more medals in the last Olympics?"
"ln_pop_(15.381, 16.16]_0","Among 10 countries *whose population is lower than 15.381 or higher than 16.16*, how many won one or more medals in the last Olympics?"
"education expenditures_(5.9, 17.8]_1","Among 10 countries *whose education expenditures are higher than 5.9*, how many won one or more medals in the last Olympics?"
"education expenditures_(5.9, 17.8]_0","Among 10 countries *whose education expenditures are lower than 5.9*, how many won one or more medals in the last Olympics?"
"education expenditures_(3.133, 4.14]_1","Among 10 countries *whose education expenditures are between 3.133 and 4.14*, how many won one or more medals in the last Olympics?"
"education expenditures_(3.133, 4.14]_0","Among 10 countries *whose education expenditures are lower than 3.133 or higher than 4.14*, how many won one or more medals in the last Olympics?"
"public debt_(71, 235.7]_1","Among 10 countries *whose public debt is higher than 71*, how many won one or more medals in the last Olympics?"
"public debt_(71, 235.7]_0","Among 10 countries *whose public debt is lower than 71*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_1","Among 10 countries *whose health expenditures is between 4.8 and 5.9*, how many won one or more medals in the last Olympics?"
"health expenditures_(4.8, 5.9]_0","Among 10 countries *whose health expenditures is lower than 4.8 or higher than 5.9*, how many won one or more medals in the last Olympics?"
"military expenditures_(3.1, 20.2]_1","Among 10 countries *whose military expenditures are more than 3.1*, how many won one or more medals in the last Olympics?"
"military expenditures_(3.1, 20.2]_0","Among 10 countries *whose military expenditures are less than 3.1*, how many won one or more medals in the last Olympics?"
"gdp growth rate_(6, 121.9]_1","Among 10 countries *whose GDP growth rate is more than 6*, how many won one or more medals in the last Olympics?"
"gdp growth rate_(6, 121.9]_0","Among 10 countries *whose GDP growth rate is less than 6*, how many won one or more medals in the last Olympics?"
"gdp per capita_(8.487, 9.259]_1","Among 10 countries *whose GDP per capita is between 8.487 and 9.259*, how many won one or more medals in the last Olympics?"
"gdp per capita_(8.487, 9.259]_0","Among 10 countries *whose GDP per capita is lower than 8.487 or higher than 9.259*, how many won one or more medals in the last Olympics?"
region_4_1,"Among 10 countries *which belong to Middle East & North Africa region*, how many won one or more medals in the last Olympics?"
region_4_0,"Among 10 countries *which do not belong to Middle East & North Africa region*, how many won one or more medals in the last Olympics?"
"ln_pop_(14.0683, 15.381]_1","Among 10 countries *whose population is between 14.0683 and 15.381*, how many won one or more medals in the last Olympics?"
"ln_pop_(14.0683, 15.381]_0","Among 10 countries *whose population is less than 14.0683 or more than 15.381*, how many won one or more medals in the last Olympics?"
