medals,host,antehost,planned_econ,rel_muslim,"gdp_cap_[599.919, 6491.495]","gdp_cap_(6491.495, 21125.624]","gdp_cap_(21125.624, 146320.609]","ln_gdp_cap_(9.958, 11.894]","ln_gdp_cap_(8.778, 9.958]","ln_gdp_cap_[6.397, 8.778]","pop_(3929358, 16667216.333]","pop_[21453, 3929358]","pop_(16667216.333, 1378050000]","ln_pop_(15.184, 16.629]","ln_pop_[9.974, 15.184]","ln_pop_(16.629, 21.0439]","region_[1, 3]","region_(3, 5]","region_(5, 6]","continent_(2, 3]","continent_(3, 5]","continent_[1, 2]","geographic area_(325817, 17098242]","geographic area_(44516.667, 325817]","geographic area_[54, 44516.667]","exports_(29283333333.333, 2210000000000]","exports_(2715666666.667, 29283333333.333]","exports_[1026000, 2715666666.667]","gdp growth rate_[-14.5, 2]","gdp growth rate_(2, 4.4]","gdp growth rate_(4.4, 13.3]","gdp per capita_(16300, 102100]","gdp per capita_(5433.333, 16300]","gdp per capita_[400, 5433.333]","inflation rate_[-0.8, 2.2]","inflation rate_(2.2, 5.2]","inflation rate_(5.2, 56.2]",unemployment rate_nan,"unemployment rate_(6.6, 15.667]","unemployment rate_[0, 6.6]","unemployment rate_(15.667, 95]",gross national saving_nan,"gross national saving_(24.6, 61.4]","gross national saving_[-36.6, 15.9]","gross national saving_(15.9, 24.6]",public debt_nan,"public debt_(57.5, 226.1]","public debt_[3.3, 35.933]","public debt_(35.933, 57.5]","population growth rate_(1.727, 9.37]","population growth rate_(0.683, 1.727]","population growth rate_[-1.02, 0.683]",life expectancy at birth_nan,"life expectancy at birth_(69.25, 75.813]","life expectancy at birth_(75.813, 84.46]","life expectancy at birth_[49.44, 69.25]",net migration rate_nan,"net migration rate_(-1.0933, 0]","net migration rate_[-20.93, -1.0933]","net migration rate_(0, 83.82]","obesity_[1.1, 12.2]","obesity_(24.0333, 57.6]",obesity_nan,"obesity_(12.2, 24.0333]",education expenditures_nan,"education expenditures_(3.9, 5.6]","education expenditures_(5.6, 13]","education expenditures_[0.6, 3.9]",health expenditures_nan,"health expenditures_(7.9, 19.5]","health expenditures_[1.9, 5.333]","health expenditures_(5.333, 7.9]","electricity consumption_(3066000000, 26100000000]",electricity consumption_nan,"electricity consumption_[23250000, 3066000000]","electricity consumption_(26100000000, 5320000000000]",oil imports_nan,"oil imports_(256733.333, 9213000]","oil imports_(51496.667, 256733.333]","oil imports_[0.66, 51496.667]",internet users_nan,"internet users_(316566.667, 3313000]","internet users_(3313000, 389000000]","internet users_[2100, 316566.667]","military expenditures_(1.897, 8.61]",military expenditures_nan,"military expenditures_(1.147, 1.897]","military expenditures_[0, 1.147]","electricity expenditures per capita_(3327.0487, 48501.33]","electricity expenditures per capita_(601.312, 3327.0487]","electricity expenditures per capita_[0, 601.312]","internet users ratio_(0.083, 0.364]","internet users ratio_[0, 0.083]","internet users ratio_(0.364, 0.901]","exports per capita_(3192.456, 73072.733]","exports per capita_(508.712, 3192.456]","exports per capita_[0.134, 508.712]"
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
