feature,answerUser,count
medals,A2BGRGVU9HG0C6,13
medals,A35F2841BY4XB4,13
"electricity consumption per person_[26.757, 1320.325]_1",A3ULZGQA5AQMTD,12
"electricity consumption per person_[26.757, 1320.325]_0",A3ULZGQA5AQMTD,12
"education expenditures_(4.133, 5.6]",A35F2841BY4XB4,11
"education expenditures_(4.133, 5.6]_0",A35F2841BY4XB4,11
"education expenditures_(4.133, 5.6]_1",A35F2841BY4XB4,11
"electricity consumption per person_[26.757, 1320.325]",A3ULZGQA5AQMTD,11
"exports_(77193333333.333, 1580000000000]",A35F2841BY4XB4,10
"exports_(77193333333.333, 1580000000000]_0",A35F2841BY4XB4,10
"exports_(77193333333.333, 1580000000000]_1",A35F2841BY4XB4,10
"inflation rate_(1.9, 4.2]_0",A35F2841BY4XB4,8
"inflation rate_(1.9, 4.2]_1",A35F2841BY4XB4,8
"electricity consumption_(55576666666.667, 3890000000000]_0",A3ULZGQA5AQMTD,7
"electricity consumption per person_(4244.0286, 48501.33]_0",A29KUIEVPK8WB4,7
"exports_[1163000, 10071333333.333]",A35F2841BY4XB4,7
"exports_[1163000, 10071333333.333]_0",A35F2841BY4XB4,7
"electricity consumption per person_(4244.0286, 48501.33]_1",A29KUIEVPK8WB4,7
"exports_[1163000, 10071333333.333]_1",A35F2841BY4XB4,7
"inflation rate_(1.9, 4.2]",A35F2841BY4XB4,7
"electricity consumption per person_(4244.0286, 48501.33]",A29KUIEVPK8WB4,7
"electricity consumption_[90210000, 7952000000]_1",A35F2841BY4XB4,7
"electricity consumption_(55576666666.667, 3890000000000]_1",A3ULZGQA5AQMTD,7
"electricity consumption_[90210000, 7952000000]_0",A35F2841BY4XB4,7
"internet users_[14400, 1167666.667]",A35F2841BY4XB4,6
"internet users_[14400, 1167666.667]",A29KUIEVPK8WB4,6
"internet users_[14400, 1167666.667]_0",A35F2841BY4XB4,6
"public debt_(61.733, 226.1]_1",A35F2841BY4XB4,6
"internet users_[14400, 1167666.667]_1",A35F2841BY4XB4,6
"internet users_[14400, 1167666.667]_1",A29KUIEVPK8WB4,6
"electricity consumption_(55576666666.667, 3890000000000]",A3ULZGQA5AQMTD,6
"electricity consumption per person_(4244.0286, 48501.33]_1",A35F2841BY4XB4,6
"public debt_(61.733, 226.1]_0",A35F2841BY4XB4,6
"electricity consumption per person_(4244.0286, 48501.33]_0",A35F2841BY4XB4,6
"internet users_[14400, 1167666.667]_0",A29KUIEVPK8WB4,6
region_5_0,A3ULZGQA5AQMTD,5
region_5,A3ULZGQA5AQMTD,5
region_3_1,A35F2841BY4XB4,5
region_3_0,A35F2841BY4XB4,5
region_3,A35F2841BY4XB4,5
region_5_1,A3ULZGQA5AQMTD,5
"exports_[1163000, 10071333333.333]_1",A15FXOOCN5RT0,5
"exports_[1163000, 10071333333.333]_0",A15FXOOCN5RT0,5
"education expenditures_(4.133, 5.6]",A15FXOOCN5RT0,5
"exports_[1163000, 10071333333.333]",A15FXOOCN5RT0,5
"electricity consumption_[90210000, 7952000000]",A35F2841BY4XB4,5
"education expenditures_(4.133, 5.6]_0",A15FXOOCN5RT0,5
"electricity consumption per person_(4244.0286, 48501.33]",A35F2841BY4XB4,5
"education expenditures_(4.133, 5.6]_1",A15FXOOCN5RT0,5
"public debt_(61.733, 226.1]",A35F2841BY4XB4,4
"public debt_(61.733, 226.1]",A15FXOOCN5RT0,4
"public debt_(61.733, 226.1]_0",A15FXOOCN5RT0,4
"public debt_(61.733, 226.1]_1",A15FXOOCN5RT0,4
region_3,A15FXOOCN5RT0,4
"exports_(77193333333.333, 1580000000000]",A15FXOOCN5RT0,4
region_3_1,A15FXOOCN5RT0,4
"exports_(77193333333.333, 1580000000000]_1",A15FXOOCN5RT0,4
region_3_0,A15FXOOCN5RT0,4
"unemployment rate_[0.3, 6.433]_0",A35F2841BY4XB4,4
"unemployment rate_[0.3, 6.433]",A35F2841BY4XB4,4
"exports_(77193333333.333, 1580000000000]_0",A15FXOOCN5RT0,4
"unemployment rate_[0.3, 6.433]_1",A35F2841BY4XB4,4
"exports_[1163000, 10071333333.333]_0",A28FMRMS9TMEOZ,3
"inflation rate_(1.9, 4.2]",A15FXOOCN5RT0,3
region_3,A3NHJPE6326P9V,3
"exports_[1163000, 10071333333.333]",A28FMRMS9TMEOZ,3
"inflation rate_(1.9, 4.2]_0",A15FXOOCN5RT0,3
region_3_0,A3NHJPE6326P9V,3
"exports_[1163000, 10071333333.333]_1",A28FMRMS9TMEOZ,3
"inflation rate_(1.9, 4.2]_1",A15FXOOCN5RT0,3
region_3_1,A3NHJPE6326P9V,3
"public debt_(61.733, 226.1]_0",A2EAJ7834XI2IT,2
"unemployment rate_[0.3, 6.433]_0",A1NITMHYG5YL3H,2
"electricity consumption per person_(4244.0286, 48501.33]",A1Q6IR9E7MW3BM,2
"electricity consumption per person_(4244.0286, 48501.33]_0",A1Q6IR9E7MW3BM,2
"public debt_(61.733, 226.1]",ATIUQQLY0LCNA,2
"public debt_(61.733, 226.1]_1",A2EAJ7834XI2IT,2
