,W,p
"education expenditures_(4.133, 5.6]",0.892746090888977,0.005607703235000372
"education expenditures_(4.133, 5.6]_0",0.8820527195930481,0.003143472131341696
"education expenditures_(4.133, 5.6]_1",0.9199051856994629,0.026669401675462723
"electricity consumption per person_(4244.0286, 48501.33]",0.9322741627693176,0.21288461983203888
"electricity consumption per person_(4244.0286, 48501.33]_0",0.8752700686454773,0.009826045483350754
"electricity consumption per person_(4244.0286, 48501.33]_1",0.845671534538269,0.0028488694224506617
"electricity consumption per person_[26.757, 1320.325]",0.9409266114234924,0.4303268492221832
"electricity consumption per person_[26.757, 1320.325]_0",0.8868371248245239,0.0727929174900055
"electricity consumption per person_[26.757, 1320.325]_1",0.9066576957702637,0.14091533422470093
"electricity consumption_(55576666666.667, 3890000000000]",0.8961824774742126,0.0698365718126297
"electricity consumption_(55576666666.667, 3890000000000]_0",0.8168781995773315,0.003489344147965312
"electricity consumption_(55576666666.667, 3890000000000]_1",0.7611606121063232,0.0006242031813599169
"electricity consumption_[90210000, 7952000000]",0.9162459969520569,0.014440702274441719
"electricity consumption_[90210000, 7952000000]_0",0.8560613989830017,0.0003835117386188358
"electricity consumption_[90210000, 7952000000]_1",0.8443311452865601,0.00020961163681931794
"exports_(77193333333.333, 1580000000000]",0.9250487089157104,0.004499624017626047
"exports_(77193333333.333, 1580000000000]_0",0.9220971465110779,0.0022435616701841354
"exports_(77193333333.333, 1580000000000]_1",0.8513476848602295,1.2059176697221119e-05
"exports_[1163000, 10071333333.333]",0.9467551112174988,0.10694627463817596
"exports_[1163000, 10071333333.333]_0",0.9164711833000183,0.014647259376943111
"exports_[1163000, 10071333333.333]_1",0.9090713858604431,0.009235167875885963
"inflation rate_(1.9, 4.2]",0.9486091136932373,0.13158370554447174
"inflation rate_(1.9, 4.2]_0",0.9380287528038025,0.05954557657241821
"inflation rate_(1.9, 4.2]_1",0.9127654433250427,0.01161019504070282
"internet users_[14400, 1167666.667]",0.9354292154312134,0.176778644323349
"internet users_[14400, 1167666.667]_0",0.838299036026001,0.0026881848461925983
"internet users_[14400, 1167666.667]_1",0.804175853729248,0.0007604683050885797
medals,0.8806004524230957,0.0726582407951355
"public debt_(61.733, 226.1]",0.9522901177406311,0.14378616213798523
"public debt_(61.733, 226.1]_0",0.9366342425346375,0.044230345636606216
"public debt_(61.733, 226.1]_1",0.9260064363479614,0.021318873390555382
region_3,0.9037904143333435,0.008974675089120865
region_3_0,0.940557599067688,0.05818973109126091
region_3_1,0.9187394380569458,0.013114660046994686
region_5,0.8149869441986084,0.0008669250528328121
region_5_0,0.8796613216400146,0.01190287433564663
region_5_1,0.8220713138580322,0.0011319660115987062
"unemployment rate_[0.3, 6.433]",0.9357531070709229,0.04160100966691971
"unemployment rate_[0.3, 6.433]_0",0.8943831920623779,0.0020652343519032
"unemployment rate_[0.3, 6.433]_1",0.9552047848701477,0.14196918904781342
