,n p,n p|f=0,n p|f=1,p,p|f=0,p|f=1,std p,std p|f=0,std p|f=1,IG
"education expenditures_(4.133, 5.6]",9.0,9.0,9.0,0.2555555555555556,0.3111111111111111,0.2444444444444444,0.15092308563562362,0.23154073315749674,0.11303883305208778,0.09032098862445403
"electricity consumption per person_(4244.0286, 48501.33]",21.0,25.0,25.0,0.5,0.3599999999999999,0.624,0.22135943621178655,0.223606797749979,0.277308492477241,0.012311064164503671
"electricity consumption_[90210000, 7952000000]",12.0,12.0,12.0,0.35833333333333334,0.6333333333333333,0.34166666666666673,0.16764862244009224,0.24984843890695504,0.15050420310248863,0.020924725663963306
"exports_(77193333333.333, 1580000000000]",11.0,11.0,11.0,0.21818181818181823,0.34545454545454546,0.6272727272727272,0.14012980994907415,0.21148823307047776,0.245319828350295,0.026319072672041033
"exports_[1163000, 10071333333.333]",14.0,14.0,14.0,0.4571428571428572,0.6642857142857144,0.32142857142857134,0.24718191903717618,0.21699749327564152,0.12513728724621076,0.04731199957309895
"inflation rate_(1.9, 4.2]",14.0,14.0,14.0,0.43571428571428567,0.45714285714285713,0.5071428571428571,0.24994504890580943,0.25634797778466234,0.19400351192017798,-0.03570503447365292
"internet users_[14400, 1167666.667]",25.0,25.0,25.0,0.3559999999999999,0.6200000000000002,0.25999999999999995,0.18726095873584186,0.2813657169355689,0.17559422921421228,0.04993583380176725
medals,13.0,,,0.38461538461538464,,,0.2409915415049314,,,
"public debt_(61.733, 226.1]",15.0,16.0,16.0,0.4266666666666667,0.43749999999999994,0.38749999999999996,0.23441924185608348,0.19958289839896937,0.22472205054244232,-0.016569080601732677
region_3,18.0,19.0,19.0,0.39444444444444443,0.5210526315789474,0.48421052631578965,0.20428417986665254,0.24625855285411136,0.2167004022319418,-0.03770496513649402
"unemployment rate_[0.3, 6.433]",13.0,15.0,15.0,0.3615384615384615,0.36666666666666664,0.5399999999999999,0.11208970766356098,0.19148542155126758,0.25579009251449014,-0.003942478683622186
