,actual,actual,actual,actual,crowd,crowd,crowd,crowd,diff,diff,diff,diff
,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG
,,,,,,,,,,,,
"education expenditures_(4.133, 5.6]",0.34513274336283184,0.5945945945945946,0.5897435897435898,1.5889372219635156e-05,0.2555555555555556,0.3111111111111111,0.2444444444444444,0.09032098862445403,0.08957718780727625,0.2834834834834835,0.34529914529914535,0.0903050992522344
"electricity consumption per person_(4244.0286, 48501.33]",0.33628318584070804,0.4666666666666667,0.8421052631578947,0.10174826644664436,0.5,0.3599999999999999,0.624,0.012311064164503671,0.16371681415929196,0.1066666666666668,0.2181052631578947,0.0894372022821407
"electricity consumption_[90210000, 7952000000]",0.33628318584070804,0.7866666666666666,0.21052631578947367,0.2289239601431835,0.3583333333333333,0.6333333333333333,0.34166666666666673,0.020924725663963303,0.02205014749262524,0.15333333333333332,0.13114035087719306,0.2079992344792202
"exports_(77193333333.333, 1580000000000]",0.33628318584070804,0.4533333333333333,0.8684210526315791,0.1264934948734009,0.21818181818181825,0.34545454545454546,0.6272727272727272,0.026319072672041036,0.11810136765888979,0.10787878787878785,0.2411483253588519,0.10017442220135986
"exports_[1163000, 10071333333.333]",0.33628318584070804,0.7733333333333333,0.2368421052631579,0.19686981952133556,0.4571428571428572,0.6642857142857144,0.3214285714285713,0.04731199957309895,0.12085967130214914,0.10904761904761895,0.08458646616541338,0.1495578199482366
"inflation rate_(1.9, 4.2]",0.3097345132743363,0.5897435897435898,0.6,6.728420421853176e-05,0.4357142857142857,0.4571428571428571,0.5071428571428571,-0.03570503447365292,0.1259797724399494,0.13260073260073268,0.09285714285714286,0.03577231867787145
"internet users_[14400, 1167666.667]",0.33628318584070804,0.7866666666666666,0.21052631578947367,0.2289239601431835,0.3559999999999999,0.6200000000000002,0.25999999999999995,0.04993583380176725,0.019716814159291884,0.1666666666666664,0.04947368421052628,0.17898812634141625
medals,0.5929203539823009,0.0,1.0,0.9749415664922376,0.38461538461538464,,,,0.20830496936691628,,,
"public debt_(61.733, 226.1]",0.33628318584070804,0.6,0.5789473684210527,0.0002951551211239911,0.4266666666666667,0.4375,0.3875,-0.016569080601732674,0.09038348082595865,0.16249999999999998,0.19144736842105264,0.016864235722856665
region_3,0.12389380530973453,0.5959595959595959,0.5714285714285714,0.00019434893013359209,0.3944444444444444,0.5210526315789474,0.4842105263157897,-0.03770496513649402,0.27055063913470984,0.07490696438064848,0.0872180451127817,0.03789931406662761
"unemployment rate_[0.3, 6.433]",0.33628318584070804,0.5866666666666667,0.6052631578947368,0.0002310662039718414,0.3615384615384615,0.36666666666666653,0.5399999999999999,-0.003942478683622186,0.025255275697753432,0.22000000000000014,0.06526315789473691,0.004173544887594027
