,actual,actual,actual,actual,crowd,crowd,crowd,crowd,diff,diff,diff,diff
,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG
,,,,,,,,,,,,
"education expenditures_(4.133, 5.6]",0.6090584028605482,0.4176829268292683,0.4403131115459881,0.00035895032095289986,0.3533333333333334,0.37,0.43666666666666665,-0.0027643300687704157,0.25572506952721485,0.04768292682926828,0.0036464448793214754,0.0031232803897233157
"electricity consumption per person_(4244.0286, 48501.33]",0.24076281287246726,0.3249607535321821,0.7673267326732673,0.10729958692410092,0.4666666666666668,0.3363636363636363,0.5999999999999999,0.016768261074575186,0.22590385379419953,0.011402882831454186,0.16732673267326748,0.09053132584952574
"electricity consumption_[90210000, 7952000000]",0.4600715137067938,0.6335540838852097,0.19430051813471505,0.14777810305263328,0.3636363636363637,0.6205882352941176,0.3029411764705882,0.03007254840409035,0.09643515007043008,0.012965848591092177,0.10864065833587316,0.11770555464854293
"exports_(77193333333.333, 1580000000000]",0.1799761620977354,0.34011627906976744,0.847682119205298,0.1171450243850245,0.33541666666666664,0.3384615384615385,0.6173076923076923,0.025627351230990247,0.15544050456893124,0.001654740608228955,0.23037442689760568,0.09151767315403425
"exports_[1163000, 10071333333.333]",0.5840286054827175,0.7507163323782235,0.20408163265306126,0.22305885048069876,0.4666666666666667,0.6363636363636364,0.2939393939393939,0.049131736586040864,0.11736193881605084,0.1143526960145872,0.08985776128633263,0.1739271138946579
"inflation rate_(1.9, 4.2]",0.3122765196662693,0.4055459272097054,0.4885496183206106,0.0043333391420024014,0.4125,0.4484848484848484,0.5242424242424241,-0.03355698773656845,0.10022348033373069,0.04293892127514298,0.03569280592181345,0.03789032687857085
"internet users_[14400, 1167666.667]",0.433849821215733,0.6105263157894737,0.1978021978021978,0.12908430186638864,0.3714285714285714,0.5904761904761907,0.2714285714285714,0.03429127348444372,0.062421249787161626,0.020050125313282985,0.07362637362637361,0.09479302838194492
medals,0.43146603098927294,0.0,1.0,0.9864048387726608,0.38461538461538464,,,,0.046850646373888305,,,
"public debt_(61.733, 226.1]",0.17878426698450536,0.409288824383164,0.5333333333333333,0.0065845362486084405,0.4676470588235295,0.4771428571428572,0.5028571428571429,-0.03794959480531368,0.2888627918390242,0.0678540327596932,0.030476190476190435,0.04453413105392212
region_3,0.16090584028605484,0.4517045454545455,0.32592592592592595,0.0064281218733843746,0.3290322580645161,0.4857142857142856,0.4085714285714285,-0.030387314784084074,0.16812641777846124,0.03400974025974007,0.08264550264550252,0.03681543665746845
"unemployment rate_[0.3, 6.433]",0.2681764004767581,0.3859934853420196,0.5555555555555556,0.016486376758696353,0.37142857142857133,0.3702702702702704,0.5162162162162163,-0.007605707588991706,0.10325217095181322,0.01572321507174923,0.03933933933933931,0.02409208434768806
