,p,p|f=0,p|f=1,std,H,IG,IG ratio
school,0.7394636015325671,0.3492647058823529,0.5375647668393783,0.43892731008795943,0.8275547268466561,0.019981606619239534,0.024145359782280693
sex,0.4339080459770115,0.5093062605752962,0.4613686534216336,0.49561260437303734,0.9873592312769093,0.0016305411045709484,0.0016514162757786137
age,16.726053639846743,,,1.2393806932778517,2.2707030484452666,,
address,0.7270114942528736,0.37894736842105264,0.5296442687747036,0.44549498479453276,0.8457203430064855,0.013121192040481455,0.015514811898501103
famsize,0.7068965517241379,0.5098039215686274,0.4796747967479675,0.45518547525668906,0.8726965039103791,0.0005428970176841741,0.000622091431845505
Pstatus,0.8840996168582376,0.49586776859504134,0.4875406283856988,0.32010542689769517,0.5174606873196205,2.0508819502329523e-05,3.96335799122491e-05
Medu,2.603448275862069,0.4444444444444444,0.3118811881188119,1.1243676750870049,2.0357902165863777,0.257804680189907,0.1266361720817163
Fedu,2.3879310344827585,0.4444444444444444,0.36328125,1.0994111673000186,2.0382103480491836,0.11767795164312322,0.05773592100332304
traveltime,1.5229885057471264,,0.5409309791332263,0.731376880705385,1.3698957494925623,,
studytime,1.9703065134099618,,0.38801261829652994,0.8339535059647077,1.6887394420318886,,
failures,0.26436781609195403,0.5667828106852497,0.15,0.6558274604000357,0.892718092097864,0.11225938471013841,0.12575009479905555
schoolsup,0.11398467432950192,0.5081081081081081,0.33613445378151263,0.3177926499267999,0.5118191645947463,0.008783467211624485,0.017161270658122296
famsup,0.6130268199233716,0.49257425742574257,0.4859375,0.4870574278029326,0.9628184297503088,3.016407707412405e-05,3.1328936113059873e-05
paid,0.210727969348659,0.5048543689320388,0.42727272727272725,0.4078255659995416,0.7428719243721862,0.002899897907225002,0.003903631046059192
activities,0.4942528735632184,0.44886363636363635,0.5290697674418605,0.4999669694466983,0.9999046950184837,0.004647158910582316,0.004647601850190744
nursery,0.7998084291187739,0.44019138755980863,0.5005988023952096,0.4001436065081299,0.722311071233021,0.0016907639203442848,0.0023407697703678645
higher,0.9147509578544061,0.10112359550561797,0.5246073298429319,0.27925193456600017,0.4204096970032367,0.046182464154264635,0.10985109164575022
internet,0.7921455938697318,0.3778801843317972,0.5175332527206772,0.4057720443580408,0.7373614488734322,0.009356745227628083,0.012689496097095474
romantic,0.3553639846743295,0.5007429420505201,0.46630727762803237,0.4786234669034867,0.9387675308619713,0.000784656484283941,0.0008358368376497572
famrel,3.935823754789272,,0.43333333333333335,0.9329536335464869,1.789645248535964,,
freetime,3.2011494252873565,,0.4375,1.0310126985486845,2.057222157346482,,
goout,3.1561302681992336,,0.43661971830985913,1.1520225285999595,2.1795078003954584,,
Dalc,1.4942528735632183,,0.5405777166437414,0.9112775321781246,1.341010228363796,,
Walc,2.2844827586206895,,0.5477386934673367,1.2844891871576674,2.1256426946467806,,
health,3.543103448275862,,0.5693430656934306,1.4240209195572846,2.178817583282341,,
absences,4.434865900383142,0.5515320334261838,0.6666666666666666,6.207041706358111,3.2203799025602415,0.3356000115117115,0.10421131098380826
G3,0.4885057471264368,0.0,1.0,0.49986786469113764,0.9996187548848545,0.9996187548848545,1.0
subject,0.6216475095785441,0.41012658227848103,0.5362095531587057,0.48497616788182724,0.9568701224876004,0.010838562250639505,0.011327098626992564
Mjob_at_home,0.18582375478927204,0.5270588235294118,0.31958762886597936,0.38896437747599405,0.6926528665357778,0.019191276129519985,0.027706917933513948
Mjob_health,0.07854406130268199,0.47505197505197505,0.6463414634146342,0.2690258198328998,0.3970282082887895,0.006199522082553921,0.015614815151986698
Mjob_other,0.382183908045977,0.4945736434108527,0.47869674185463656,0.485921154588563,0.9595698562412796,0.0001718574666897954,0.00017909844246564432
Mjob_services,0.2289272030651341,0.47577639751552797,0.5313807531380753,0.420142283949031,0.7761364847174015,0.0015756673639878427,0.002030142114194719
Mjob_teacher,0.12452107279693486,0.4737417943107221,0.5923076923076923,0.33017506754210885,0.5422184101553493,0.004440338006161171,0.008189205535992375
Fjob_at_home,0.05938697318007663,0.49185336048879835,0.43548387096774194,0.23634754197280408,0.3250066098830886,0.0005141141678469685,0.0015818575752410257
Fjob_health,0.039272030651340994,0.48554336989032904,0.5609756097560976,0.19424144320885953,0.23894446354942603,0.0006205421208833606,0.002597014015999582
Fjob_other,0.5593869731800766,0.5043478260869565,0.476027397260274,0.49646066049235815,0.9897997074699394,0.0005707149997029592,0.0005765964521870624
Fjob_services,0.2796934865900383,0.4973404255319149,0.4657534246575342,0.44884857151287444,0.8550328283184014,0.0005806986123928493,0.0006791535870440354
Fjob_teacher,0.06226053639846743,0.473953013278856,0.7076923076923077,0.24162814820679077,0.33635380173380497,0.009444332883634554,0.028078567374448554
reason_course,0.4118773946360153,0.5244299674267101,0.4372093023255814,0.49217314679273544,0.9774757663201163,0.005329916858955341,0.005452735548647691
reason_home,0.2471264367816092,0.48346055979643765,0.5038759689922481,0.43134088726346387,0.8066917851958766,0.00022382438885504286,0.00027745961092277025
reason_other,0.10344827586206896,0.4967948717948718,0.4166666666666667,0.3045434781492364,0.4798320236161285,0.0017278723245938155,0.0036009941803636985
reason_reputation,0.23754789272030652,0.45603015075376885,0.592741935483871,0.42558065203254714,0.7909386757569634,0.009807170966575463,0.012399407523205975
guardian_father,0.23275862068965517,0.47191011235955055,0.5432098765432098,0.42258968892331655,0.7827892889687527,0.0026219525954868095,0.003349499836592006
guardian_mother,0.6973180076628352,0.4936708860759494,0.48626373626373626,0.4594187674137462,0.8845446800099082,3.342879599488313e-05,3.7792094340004037e-05
guardian_other,0.06992337164750957,0.5005149330587023,0.3287671232876712,0.25501783024909047,0.3656376238301557,0.005656525452108596,0.015470304704573124
