,p,p|f=0,p|f=1,std,H,IG,IG ratio
school,0.8835443037974684,0.32608695652173914,0.42120343839541546,0.32077058316578116,0.5190863217333482,0.0028405662679622523,0.00547224257128747
sex,0.47341772151898737,0.3557692307692308,0.47058823529411764,0.49929288245553594,0.9979601712357684,0.009810085752454123,0.009830137549784526
age,16.696202531645568,,,1.2744264570480168,2.290215648920665,,
address,0.7772151898734178,0.3181818181818182,0.4364820846905538,0.41611505440616336,0.7652199823841431,0.007384378042022743,0.009650006811133899
famsize,0.7113924050632912,0.4649122807017544,0.3879003558718861,0.45311505280839887,0.8669157858572228,0.0036077319860201573,0.004161571452355967
Pstatus,0.8962025316455696,0.4146341463414634,0.4096045197740113,0.3049976293639707,0.48091897744744616,7.0098623248249226e-06,1.4575973612085097e-05
Medu,2.749367088607595,0.6666666666666666,0.23728813559322035,1.0933485225801673,1.9972908676121337,0.40962490863915946,0.20509026265607852
Fedu,2.5215189873417723,0.5,0.3048780487804878,1.0868222038604294,2.0254743132315807,0.2610640690693802,0.12889033811189668
traveltime,1.4481012658227848,,0.44357976653696496,0.6966212779804462,1.2666597248946916,,
studytime,2.0354430379746837,,0.41904761904761906,0.8381773436532131,1.7005334999354305,,
failures,0.3341772151898734,0.47115384615384615,0.26,0.7427090467258661,1.0289362605960766,0.03606378803063881,0.03504958413045583
schoolsup,0.1291139240506329,0.44476744186046513,0.17647058823529413,0.33532598865414276,0.5550031011453059,0.02655963452438448,0.04785492994467228
famsup,0.6126582278481013,0.4444444444444444,0.3884297520661157,0.48714281653137814,0.9630626573621169,0.0022147605918731994,0.002299705605800929
paid,0.4582278481012658,0.411214953271028,0.4088397790055249,0.498252031933386,0.994959373059641,4.176175540049343e-06,4.19733272847816e-06
activities,0.5088607594936709,0.4020618556701031,0.417910447761194,0.4999214807759281,0.9997734473397376,0.00018719933713384762,0.00018724175725206527
nursery,0.7949367088607595,0.3950617283950617,0.4140127388535032,0.4037478641013278,0.7319398167717426,0.00017507195675059428,0.0002391890053512295
higher,0.9493670886075949,0.2,0.42133333333333334,0.219246937666946,0.28907945973164645,0.0076690887966536225,0.026529345266429052
internet,0.8329113924050633,0.3333333333333333,0.425531914893617,0.3730549621797325,0.6510012141111681,0.0035957842589737776,0.005523467823148705
romantic,0.3341772151898734,0.41825095057034223,0.3939393939393939,0.47170202886760637,0.9191374052437277,0.00039297279374683747,0.00042754520869774944
famrel,3.9443037974683546,,0.625,0.8955228775206113,1.7659744061129263,,
freetime,3.2354430379746835,,0.2631578947368421,0.9975968560804794,2.017925146898614,,
goout,3.108860759493671,,0.34782608695652173,1.1118680681021664,2.139891506408486,,
Dalc,1.481012658227848,,0.4420289855072464,0.8896131927704085,1.3234702745692863,,
Walc,2.2911392405063293,,0.46357615894039733,1.286265310488668,2.1258323289912,,
health,3.5544303797468353,,0.5319148936170213,1.3885423983402403,2.172410678264703,,
absences,5.708860759493671,0.40869565217391307,1.0,7.992958766400057,3.5306957488403112,5.571522624511861,1.5780239989078293
G3,0.41012658227848103,0.0,1.0,0.4918564514033085,0.9765668881992591,0.9765668881992591,1.0
subject,0.0,0.41012658227848103,,0.0,0.0,,
Mjob_at_home,0.14936708860759493,0.42857142857142855,0.3050847457627119,0.35644994241616224,0.6082541747960802,0.005948378314311942,0.00977942866780349
Mjob_health,0.08607594936708861,0.39058171745152354,0.6176470588235294,0.280476167093824,0.4232344093713507,0.011865264323468905,0.028034734560200152
Mjob_other,0.3569620253164557,0.4330708661417323,0.36879432624113473,0.47910347295592537,0.9401325110939337,0.002843491405313925,0.0030245644861331853
Mjob_services,0.2607594936708861,0.3938356164383562,0.4563106796116505,0.43904894958465424,0.8278902975129803,0.002229582868960356,0.002693089743481864
Mjob_teacher,0.1468354430379747,0.4094955489614243,0.41379310344827586,0.3539417970596528,0.6018640102146287,6.893687125586467e-06,1.1453894914115455e-05
Fjob_at_home,0.05063291139240506,0.408,0.45,0.2192469376669465,0.28907945973164645,0.0002507582327448965,0.0008674370464704629
Fjob_health,0.04556962025316456,0.40848806366047746,0.4444444444444444,0.20854982609234432,0.26727021286636893,0.00016645014829286264,0.0006227785225586856
Fjob_other,0.549367088607595,0.43820224719101125,0.3870967741935484,0.49755692193196466,0.9929565186278304,0.001926511822882171,0.0019401774264440335
Fjob_services,0.2810126582278481,0.4154929577464789,0.3963963963963964,0.449493653062607,0.8568269617880312,0.00022017757851744424,0.00025696854596869413
Fjob_teacher,0.07341772151898734,0.39617486338797814,0.5862068965517241,0.26082093414054597,0.37855038820203707,0.007179830773746065,0.018966644857630156
reason_course,0.3670886075949367,0.428,0.3793103448275862,0.48201095606733585,0.9484103893488014,0.0016485145285556335,0.001738186914725321
reason_home,0.2759493670886076,0.42657342657342656,0.3669724770642202,0.4469914024810828,0.8498726564333151,0.0021327148674151752,0.002509452270609106
reason_other,0.09113924050632911,0.40668523676880225,0.4444444444444444,0.28780701754171706,0.44026106535712695,0.0003497348016251456,0.000794380491814444
reason_reputation,0.26582278481012656,0.38275862068965516,0.4857142857142857,0.4417703383953192,0.8354065254460504,0.006114704384735936,0.007319435745933513
guardian_father,0.22784810126582278,0.39672131147540984,0.45555555555555555,0.4194440892602774,0.7742411580847272,0.0018036745504144136,0.0023296030333445966
guardian_mother,0.6911392405063291,0.4098360655737705,0.41025641025641024,0.462023582448627,0.8918540211561315,1.124668433938325e-07,1.261045425887513e-07
guardian_other,0.0810126582278481,0.4214876033057851,0.28125,0.2728545536264811,0.405737342070902,0.004552725545325154,0.011220868954501041
