,p,p|f=0,p|f=1,std,H,IG,IG ratio
school,0.6517719568567026,0.35398230088495575,0.6335697399527187,0.47640872484861846,0.9324755842155157,0.05191465938906514,0.05567401470649822
sex,0.4098613251155624,0.5926892950391645,0.4548872180451128,0.49180790893404397,0.9764275944697471,0.01333770735096751,0.013659699322826496
age,16.7442218798151,,,1.2171988049363678,2.2551681115398683,,
address,0.6964560862865947,0.40609137055837563,0.5929203539823009,0.45978800132338693,0.885579907683929,0.021435629531992073,0.02420518955545526
famsize,0.7041602465331279,0.5364583333333334,0.5361050328227571,0.45641931788162915,0.8761458353334992,7.542422519879466e-08,8.608638214902308e-08
Pstatus,0.8767334360554699,0.5375,0.5360281195079086,0.32874293628584594,0.53867817668414,6.791932172234283e-07,1.260851555940572e-06
Medu,2.514637904468413,0.3333333333333333,0.34265734265734266,1.1336775859506174,2.0460043001887294,0.055177618244228954,0.026968476185088765
Fedu,2.3066255778120186,0.42857142857142855,0.39080459770114945,1.099083180062158,2.0340005161680255,0.05691337178846201,0.02798100164481988
traveltime,1.568567026194145,,0.6092896174863388,0.7480830842743603,1.4237338127805095,,
studytime,1.9306625577812018,,0.37264150943396224,0.8288702608039672,1.67628338209783,,
failures,0.2218798151001541,0.6211293260473588,0.07142857142857142,0.5927779352091694,0.8018336753815604,0.16899643859471725,0.21076246082368472
schoolsup,0.10477657935285054,0.5456110154905336,0.45588235294117646,0.30626532250969357,0.4839566517694709,0.0021839567849720742,0.004512711576516125
famsup,0.613251155624037,0.5219123505976095,0.5452261306532663,0.48700531388252977,0.9626693813766176,0.00037377030868634975,0.0003882644612129016
paid,0.060092449922958396,0.5377049180327869,0.5128205128205128,0.23765804717117242,0.3278118015426218,0.00010126885285122178,0.0003089237555654472
activities,0.48536209553158705,0.47604790419161674,0.6,0.49978568582220867,0.999381664180454,0.01116527548956725,0.011172183650901148
nursery,0.802773497688752,0.46875,0.5527831094049904,0.39790477390616946,0.7163462982809524,0.0032350837991952375,0.004516089225223345
higher,0.8936825885978429,0.07246376811594203,0.5913793103448276,0.3082434418359963,0.4887072416103008,0.08430993190393898,0.17251623206182898
internet,0.7673343605546995,0.3973509933774834,0.5783132530120482,0.42253087421726776,0.7826292476478424,0.01697261877239764,0.02168666558706833
romantic,0.3682588597842835,0.5536585365853659,0.5062761506276151,0.4823321179173796,0.9493258114434655,0.001513868910203442,0.0015946779197982403
famrel,3.930662557781202,,0.36363636363636365,0.9549803078828407,1.801635016041997,,
freetime,3.180277349768875,,0.5111111111111111,1.050282484619871,2.0786604725623996,,
goout,3.184899845916795,,0.4791666666666667,1.1748599355852671,2.1986467055009262,,
Dalc,1.50231124807396,,0.6008869179600886,0.9241216486267086,1.3514041181484382,,
Walc,2.280431432973806,,0.5991902834008097,1.2833900835769636,2.1247158779798863,,
health,3.536209553158706,,0.5888888888888889,1.4451443994051818,2.179645044659377,,
absences,3.6594761171032357,0.6188524590163934,0.5833333333333334,4.637182115142549,2.969611888884785,-0.03955816233872422,-0.013320987327263157
