,p,p|f=0,p|f=1,std,H,IG,IG ratio
G3,0.41012658227848103,0.0,1.0,0.4918564514033085,0.9765668881992591,0.9765668881992591,1.0
"failures_(-0.003, 1]",0.9164556962025316,0.06060606060606061,0.4419889502762431,0.2767031859239526,0.41454626822155566,0.041473428090105346,0.10004535384682255
"failures_(2, 3]",0.04050632911392405,0.42744063324538256,0.0,0.19714351730563762,0.24460889251549373,0.03170065387246768,0.1295973075486605
schoolsup,0.1291139240506329,0.44476744186046513,0.17647058823529413,0.33532598865414276,0.5550031011453059,0.02655963452438448,0.04785492994467228
"goout_(3.667, 5]",0.3518987341772152,0.46484375,0.30935251798561153,0.4775625771160147,0.9357523643085981,0.01673571000202123,0.01788476379045731
"absences_(-0.075, 25]",0.979746835443038,0.0,0.4186046511627907,0.14086509107082115,0.1428596389432329,0.015632794182184995,0.10942764728949711
"Medu_(2.667, 4]",0.5822784810126582,0.32727272727272727,0.46956521739130436,0.4931837908551439,0.980377508715691,0.01483527966824627,0.015132211353645501
"Medu_(-0.004, 1.333]",0.1569620253164557,0.43843843843843844,0.25806451612903225,0.3637649624757893,0.626991963371512,0.013463931478693403,0.02147385016913783
"failures_(1, 2]",0.043037974683544304,0.42328042328042326,0.11764705882352941,0.20294262100082217,0.256051869249728,0.013431526833827312,0.05245627330581021
Mjob_health,0.08607594936708861,0.39058171745152354,0.6176470588235294,0.280476167093824,0.4232344093713507,0.011865264323468905,0.028034734560200152
"age_(17.333, 19.667]",0.2683544303797468,0.4463667820069204,0.3113207547169811,0.4431030693589342,0.8390934242634646,0.010910988053063342,0.01300330539789504
"age_(14.993, 17.333]",0.7189873417721518,0.3153153153153153,0.4471830985915493,0.4494936530626072,0.8568269617880312,0.010687056064184075,0.012472828868365987
sex,0.47341772151898737,0.3557692307692308,0.47058823529411764,0.49929288245553594,0.9979601712357684,0.009810085752454123,0.009830137549784526
"absences_(25, 50]",0.012658227848101266,0.4153846153846154,0.0,0.11179444134592229,0.09794058271817413,0.009720815628428858,0.0992521726810702
"studytime_(0.997, 2]",0.7670886075949367,0.5108695652173914,0.3795379537953795,0.42268626153803235,0.7830520912934543,0.009082605637573016,0.011598980117108512
"Fedu_(-0.004, 1.333]",0.21265822784810126,0.43729903536977494,0.30952380952380953,0.409187861472705,0.7465332151555204,0.008356377682140037,0.01119357787770931
higher,0.9493670886075949,0.2,0.42133333333333334,0.219246937666946,0.28907945973164645,0.0076690887966536225,0.026529345266429052
address,0.7772151898734178,0.3181818181818182,0.4364820846905538,0.41611505440616336,0.7652199823841431,0.007384378042022743,0.009650006811133899
Fjob_teacher,0.07341772151898734,0.39617486338797814,0.5862068965517241,0.26082093414054597,0.37855038820203707,0.007179830773746065,0.018966644857630156
"freetime_(2.333, 3.667]",0.39746835443037976,0.4495798319327731,0.3503184713375796,0.4893743573756058,0.969450399410602,0.007087051814452905,0.0073103810352356646
"Fedu_(2.667, 4]",0.4962025316455696,0.36180904522613067,0.45918367346938777,0.49998557902613217,0.9999583900650553,0.007079478686637497,0.007079773275542916
