,p,p|f=0,p|f=1,std,H,IG,IG ratio
G3,0.5362095531587057,0.0,1.0,0.4986871446709289,0.9962135597402361,0.996213559740236,0.9999999999999999
higher,0.8936825885978429,0.07246376811594203,0.5913793103448276,0.3082434418359963,0.4887072416103008,0.08430993190393898,0.17251623206182898
school,0.6517719568567026,0.35398230088495575,0.6335697399527187,0.47640872484861846,0.9324755842155157,0.05191465938906514,0.05567401470649822
"failures_(-0.003, 1]",0.9537750385208013,0.06666666666666667,0.5589660743134087,0.20997193720934673,0.2701390843598698,0.03569554782830053,0.13213766498426485
Mjob_at_home,0.20801232665639446,0.5914396887159533,0.32592592592592595,0.4058856964902637,0.7376661566162179,0.034002007178360216,0.046094031661059756
"Medu_(-0.004, 1.333]",0.2295839753466872,0.594,0.3422818791946309,0.4205653024331651,0.7772853738852624,0.032735863823979194,0.04211563078866249
"Fedu_(2.667, 4]",0.39907550077041604,0.45384615384615384,0.6602316602316602,0.48970832692048166,0.9704072275166029,0.03000389115040414,0.030918866120966514
"Walc_(3.667, 5]",0.2033898305084746,0.586073500967118,0.3409090909090909,0.40252007074704854,0.7286561673702678,0.028442402032512137,0.03903405104654674
"studytime_(0.997, 2]",0.7966101694915254,0.7272727272727273,0.4874274661508704,0.4025200707470488,0.7286561673702678,0.028030970432677993,0.03846940668030332
"Medu_(2.667, 4]",0.48382126348228044,0.4417910447761194,0.6369426751592356,0.49973817993494396,0.9992446129258088,0.027788838537165184,0.027809845735168783
"studytime_(2, 3]",0.14946070878274267,0.49818840579710144,0.7525773195876289,0.35654201058627394,0.608489081198367,0.02504248776917195,0.041155196605751614
"Dalc_(0.996, 2.333]",0.8813559322033898,0.2857142857142857,0.5699300699300699,0.3233692208193039,0.5254506799086206,0.02493044444888748,0.047445831554015785
"failures_(2, 3]",0.02157164869029276,0.5480314960629922,0.0,0.14528011792077875,0.15017623153903545,0.02430833348057393,0.16186538463149172
"Fedu_(-0.004, 1.333]",0.27889060092449924,0.5918803418803419,0.39226519337016574,0.44845360255044436,0.8539347691900576,0.023292613354880976,0.02727680637359879
address,0.6964560862865947,0.40609137055837563,0.5929203539823009,0.45978800132338693,0.885579907683929,0.021435629531992073,0.02420518955545526
internet,0.7673343605546995,0.3973509933774834,0.5783132530120482,0.42253087421726776,0.7826292476478424,0.01697261877239764,0.02168666558706833
reason_reputation,0.22033898305084745,0.4980237154150198,0.6713286713286714,0.41447522917414925,0.7607859931846075,0.015267762060048318,0.02006840582873815
Mjob_teacher,0.11093990755007704,0.511265164644714,0.7361111111111112,0.3140577088097952,0.5027445099216502,0.01511510547977768,0.03006518257580432
"Dalc_(2.333, 3.667]",0.0662557781201849,0.5544554455445545,0.27906976744186046,0.24872866739858135,0.3517929754925153,0.013880250728273369,0.039455735887963125
"failures_(1, 2]",0.02465331278890601,0.5466034755134281,0.125,0.1550662018540422,0.1668249770775052,0.013587325871045608,0.08144659216547095
Fjob_teacher,0.05546995377503852,0.5203915171288744,0.8055555555555556,0.22889525552800988,0.309193434263588,0.013395849095574897,0.04332514087008365
sex,0.4098613251155624,0.5926892950391645,0.4548872180451128,0.49180790893404397,0.9764275944697471,0.01333770735096751,0.013659699322826496
"traveltime_(0.997, 2]",0.8921417565485362,0.34285714285714286,0.5595854922279793,0.31020129395447243,0.4934217809699927,0.013191608503936747,0.026734953771201664
"Walc_(0.996, 2.333]",0.6117103235747303,0.4523809523809524,0.5894206549118388,0.4873610608233183,0.9636869422861445,0.012947359716533269,0.013435234149607114
activities,0.48536209553158705,0.47604790419161674,0.6,0.49978568582220867,0.999381664180454,0.01116527548956725,0.011172183650901148
reason_course,0.4391371340523883,0.5906593406593407,0.4666666666666667,0.49628188718574273,0.9892851300759103,0.010997393428223812,0.01111650533691935
"freetime_(3.667, 5]",0.3790446841294299,0.5831265508684863,0.45934959349593496,0.48514926730095226,0.9573645172900109,0.010461184291787884,0.010927064981894368
"Dalc_(3.667, 5]",0.05238828967642527,0.5495934959349593,0.29411764705882354,0.22280878973057658,0.2964568933583498,0.009551425199886054,0.032218597083996714
"goout_(3.667, 5]",0.386748844375963,0.5778894472361809,0.4701195219123506,0.48700531388252954,0.9626693813766176,0.007989293904145711,0.008299104613383483
