,1,2,3
10,"[0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]"
20,"[0.5437019969278033, 0.0]","[0.59934399566278118, 0.59934399566278118, 0.49562302340290953, 0.59934399566278118, 0.0, 0.5437019969278033, 0.59934399566278118]","[0.52322580645161287, 0.52047619047619043]"
30,"[0.5437019969278033, 0.49595238095238087]","[0.59934399566278118, 0.59934399566278118, 0.49562302340290953, 0.59934399566278118, 0.57823348694316434, 0.5437019969278033, 0.59934399566278118]","[0.52322580645161287, 0.52047619047619043]"
40,"[0.5437019969278033, 0.49595238095238087]","[0.59989798500045188, 0.62220222282461379, 0.53924911900243955, 0.62143308936477815, 0.57823348694316434, 0.56919942170416538, 0.59934399566278118]","[0.61262356555525432, 0.52047619047619043]"
50,"[0.54246390168970815, 0.52090476190476176]","[0.59989798500045188, 0.62220222282461379, 0.53924911900243955, 0.62143308936477815, 0.59567854883889049, 0.56919942170416538, 0.601010662329448]","[0.61262356555525432, 0.48178670823167985]"
60,"[0.54246390168970815, 0.52090476190476176]","[0.62348332881539714, 0.62220222282461379, 0.62066928706966651, 0.6417596457938014, 0.59567854883889049, 0.5250820457215144, 0.601010662329448]","[0.62090927984096866, 0.48178670823167985]"
70,"[0.61995689888858763, 0.54858877744646239]","[0.62348332881539714, 0.59688565103460745, 0.62066928706966651, 0.6417596457938014, 0.61044465528146752, 0.5250820457215144, 0.61438547031715918]","[0.62090927984096866, 0.48178670823167985]"
80,"[0.61995689888858763, 0.54858877744646239]","[0.67042468600343352, 0.59688565103460745, 0.64200406614258609, 0.6417596457938014, 0.61044465528146752, 0.60290557513327925, 0.61438547031715918]","[0.62090927984096866, 0.48530771663504113]"
90,"[0.64028345531761088, 0.567910906298003]","[0.67042468600343352, 0.57235167615433258, 0.64200406614258609, 0.6417596457938014, 0.61044465528146752, 0.60290557513327925, 0.62267118460287341]","[0.62090927984096866, 0.48530771663504113]"
100,"[0.62711796331435787, 0.567910906298003]","[0.64069906026926893, 0.57235167615433258, 0.64200406614258609, 0.68741330080419261, 0.61044465528146752, 0.60493810427396766, 0.62267118460287341]","[0.67410626185958256, 0.58271984277582001]"
110,"[0.62711796331435787, 0.63189554531490022]","[0.64069906026926893, 0.59522431553266464, 0.64057395861570421, 0.68741330080419261, 0.61044465528146752, 0.60493810427396766, 0.62267118460287341]","[0.67410626185958256, 0.58271984277582001]"
120,"[0.62711796331435787, 0.63189554531490022]","[0.64069906026926893, 0.59522431553266464, 0.63090019878919312, 0.68741330080419261, 0.61044465528146752, 0.60493810427396766, 0.62267118460287341]","[0.67410626185958256, 0.58271984277582001]"
130,"[0.62711796331435787, 0.6300079063883619]","[0.63627048884069748, 0.59632741483690244, 0.63090019878919312, 0.67042134273064069, 0.65682741483690255, 0.66196765157675974, 0.67186816662148729]","[0.67224911900243967, 0.58271984277582001]"
140,"[0.62711796331435787, 0.6300079063883619]","[0.63627048884069748, 0.5936474654377879, 0.67401414114032709, 0.67042134273064069, 0.65682741483690255, 0.66196765157675974, 0.67186816662148729]","[0.67224911900243967, 0.63052037589229237]"
150,"[0.60614489021415019, 0.62977595554350774]","[0.61550822264389615, 0.5936474654377879, 0.67401414114032709, 0.67082194813409246, 0.66872056564561311, 0.65646091985181154, 0.68469901508990683]","[0.64193896268184691, 0.63052037589229237]"
160,"[0.60614489021415019, 0.62977595554350774]","[0.61287309117195266, 0.56658317520556611, 0.65165437788018432, 0.67082194813409246, 0.66872056564561311, 0.65288438601246956, 0.68469901508990683]","[0.64193896268184691, 0.63158434986897993]"
170,"[0.60800695762175838, 0.62977595554350774]","[0.61287309117195266, 0.56658317520556611, 0.65165437788018432, 0.67082194813409246, 0.66872056564561311, 0.65288438601246956, 0.68469901508990683]","[0.64193896268184691, 0.63158434986897993]"
