,1,2,3
1,"[0.54246390168970815, 0.52090476190476176]","[0.59989798500045188, 0.62220222282461379, 0.53924911900243955, 0.62143308936477815, 0.59567854883889049, 0.56919942170416538, 0.601010662329448]","[0.61262356555525432, 0.48178670823167985]"
2,"[0.61995689888858763, 0.54858877744646239]","[0.62348332881539714, 0.59688565103460745, 0.62066928706966651, 0.6417596457938014, 0.61044465528146752, 0.5250820457215144, 0.61438547031715918]","[0.62090927984096866, 0.48530771663504113]"
3,"[0.64028345531761088, 0.567910906298003]","[0.67042468600343352, 0.57235167615433258, 0.64200406614258609, 0.68741330080419261, 0.61044465528146752, 0.60290557513327925, 0.62267118460287341]","[0.67410626185958256, 0.58271984277582001]"
4,"[0.62711796331435787, 0.63189554531490022]","[0.64069906026926893, 0.59522431553266464, 0.64057395861570421, 0.67042134273064069, 0.65682741483690255, 0.60493810427396766, 0.67186816662148729]","[0.67224911900243967, 0.63052037589229237]"
5,"[0.62711796331435787, 0.6300079063883619]","[0.63627048884069748, 0.59632741483690244, 0.63090019878919312, 0.67082194813409246, 0.66872056564561311, 0.66196765157675974, 0.68469901508990683]","[0.64193896268184691, 0.63158434986897993]"
6,"[0.60614489021415019, 0.62977595554350774]","[0.61550822264389615, 0.5936474654377879, 0.67401414114032709, 0.67263147194361617, 0.66591104183608929, 0.65646091985181154, 0.66661181892111687]","[0.64684372458660877, 0.64336997379596994]"
7,"[0.60800695762175838, 0.61160793349597908]","[0.61287309117195266, 0.56658317520556611, 0.65165437788018432, 0.66686956718171131, 0.66058751242432456, 0.65288438601246956, 0.66799277130206924]","[0.66267891027378689, 0.65517357910906304]"
8,"[0.65878110599078343, 0.61565555254359805]","[0.60371252371916506, 0.56843878196439868, 0.65165437788018432, 0.65712663775187496, 0.66050858407879287, 0.67994768229872593, 0.65643290864732984]","[0.65386536550103902, 0.63807020872865272]"
9,"[0.66016820276497701, 0.65012596006144396]","[0.65509713562844485, 0.56843878196439868, 0.63981630071383389, 0.64382578837986804, 0.65229014186319689, 0.67628101563205933, 0.69344741122255349]","[0.6876993765248034, 0.66900555706153431]"
10,"[0.69219400018071742, 0.69382483961326469]","[0.65590665943796878, 0.62704630884611912, 0.67895423330622573, 0.68395739586157034, 0.64887512424324567, 0.66971243336044095, 0.68949503027017245]","[0.68803270985813669, 0.66517321767416637]"
11,"[0.68144528779253633, 0.7102690431011115]","[0.69144311918315726, 0.67371243336044095, 0.66971243336044095, 0.68498644619137983, 0.64099231950844848, 0.67023624288425043, 0.68137101292129743]","[0.70725223637842238, 0.7042286527514231]"
12,"[0.683002665582362, 0.70420805096232042]","[0.70246177825969092, 0.68026321496340469, 0.7018427306406434, 0.68696503117375984, 0.66036292581548739, 0.70246177825969092, 0.70143205023945066]","[0.7048955904942622, 0.70085949218397037]"
13,"[0.67745509171410501, 0.7015141863196892]","[0.70222368302159577, 0.70419463269178639, 0.70222368302159577, 0.70419463269178639, 0.70264624559501221, 0.70222368302159577, 0.70106582633053227]","[0.69998188307581111, 0.70228987078702454]"
