No,Cost,Feature,Name,Description
1,20,Fjob_teacher,Father is a teacher,"Binary [yes / no] If the student's father works as a teacher, the value for this feature is YES, otherwise NO."
2,40,"Medu_(-0.004, 1.333]",Mother has only basic education,"Binary [yes / no] If the student's mother received only basic education (no education at all or only primary school until 4th grade), the value for this feature is YES, otherwise NO."
3,20,Mjob_at_home,Mother is a house wife,"Binary [yes / no] Concerning the job of the student's mother. If the student's mother is a house wife and is not otherwise employed, the value for this feature is YES, otherwise NO."
4,20,Mjob_other,Mother works something else,"Binary [yes / no] Concerning the job of the student's mother. If the student's mother is either a housewive or works in neither teaching, health care, civil services (e.g. administrative or police), the value for this feature is NO, otherwise YES."
5,10,Pstatus==T,Parents live together,"Binary [yes / no] If the student's parents live together, the value for this feature is YES, otherwise NO."
6,30,"absences_(21.333, 32]",Many absences,"Binary [yes / no] Concerning the number of absences. If the student has a high number of absences (more than 21), the value for this feature is YES, otherwise NO. Reasons might be that the student is sick or simply playing truant."
7,30,"age_(19.667, 22]",Student is old,"Binary [yes / no] If the student belongs to the older part of the class (older than 19 years), the value for this feature is YES, otherwise NO. The average age of the students is 17 years."
8,20,"failures_(-0.003, 1]",Few failed classes,"Binary [yes / no] Concerning the number of failed classes. If the student has failed none or at maximum one class, the value for this feature is YES, otherwise NO."
9,20,"failures_(1, 2]",Failed two classes,"Binary [yes / no] Concerning the number of failed classes. If the student has failed exactly 2 classes, the value for this feature is YES, otherwise NO."
10,20,"failures_(2, 3]",Failed 3+ classes,"Binary [yes / no] Concerning the number of failed classes. If the student has failed three classes or more, the value for this feature is YES, otherwise NO."
11,20,famsize==LE3,Small family,"Binary [yes / no] Concerning the student's family size. If the student's family size is rather small (less or equal to three), the value for this feature is YES, otherwise NO."
12,30,"health_(2.333, 3.667]",Average health status,"Binary [yes / no] Concerning the student's health status. If the student has an average health status (not bad, but also not exceptional), the value for this feature is YES, otherwise NO."
13,20,higher==yes,Higher education,"Binary [yes / no] If the student said that he/she would like to pursue higher education after finishing high school, the value for this feature is YES, otherwise NO."
14,20,paid==yes,Extra paid classes,"Binary [yes / no] If the student takes extra-curricular paid classes (besides the mandatory ones), the value for this feature is YES, otherwise NO."
15,30,"studytime_(0.997, 2]",Studies little,"Binary [yes / no] If the student spends less than five hours per week studying, the value for this feature is YES, otherwise NO. It might be that the student is lazy or simply quickly understands the matter."
