,1,2,3,4,5,6,7,8
Vater is Lehrer,3.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0
Mutter ist wenig gebildet,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
Mutter ist Hausfrau,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0
Mutter arbeitet etwas anderes,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0
Eltern leben zusammen,3.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
Viele Absenzen,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0
Student ist alt,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
Wenig durchgefallen,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0
2 Mal durchgefallen,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
3+ Mal durchgefallen,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
Kleine Familie,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0
Durchschnittliche Gesundheit,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0
Hoehere Ausbildung,6.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0
Bezahlte Nachhilfe,3.0,3.0,0.0,2.0,2.0,3.0,3.0,0.0
Lernt wenig,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0
