,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"absences_(21.333, 32]",0,3,0,0,2,0,3,0,1,0,2,1,2,2,1
"failures_(-0.003, 1]",1,2,1,1,2,1,1,2,2,0,2,1,1,0,0
paid==yes,3,3,0,2,2,2,3,0,0,0,1,0,0,1,0
higher==yes,6,0,2,4,1,0,1,0,1,1,0,0,0,1,0
Fjob_teacher,3,4,2,3,0,3,1,1,0,0,0,0,0,0,0
"studytime_(0.997, 2]",1,0,2,0,0,3,0,1,0,2,3,3,0,2,0
"failures_(2, 3]",1,2,1,0,1,0,1,1,0,0,0,1,2,0,7
famsize==LE3,0,0,3,0,0,0,1,4,0,2,0,2,2,1,2
"health_(2.333, 3.667]",0,1,1,0,3,2,2,3,1,2,1,0,0,0,1
"age_(19.667, 22]",0,0,1,1,2,1,0,1,1,4,1,2,1,0,2
"Medu_(-0.004, 1.333]",0,0,1,1,2,0,0,0,1,3,2,2,3,1,1
"failures_(1, 2]",0,1,2,1,0,2,0,0,1,1,2,1,1,5,0
Mjob_other,0,0,0,2,1,0,2,0,3,2,0,2,2,2,1
Mjob_at_home,0,0,1,1,0,2,1,1,2,0,2,1,3,1,2
Pstatus==T,2,1,0,1,1,1,1,3,4,0,1,1,0,1,0
