No,Cost,Feature,Name,Description
1,20,Fjob_teacher,Vater is Lehrer,"Sie erhalten die Information, ob der Vater des SuS als Lehrer arbeitet (JA) oder nicht (NEIN)."
2,40,"Medu_(-0.004, 1.333]",Mutter ist wenig gebildet,"Sie erhalten die Information, ob die Mutter entweder gar nicht zur Schule ging / nur bis in die 4. Primarklasse (JA) oder Sie erhalten die Information, ob sie länger zur Schule ging (NEIN)."
3,20,Mjob_at_home,Mutter ist Hausfrau,"Sie erhalten die Information, ob die Mutter ausschliesslich als Hausfrau arbeitet (JA) oder nicht (NEIN)."
4,20,Mjob_other,Mutter arbeitet etwas anderes,"Sie erhalten die Information, ob die Mutter in einem der folgenden Bereiche arbeitet: Hausfrau, Schule, Gesundheitsbereich, Administration, Polizei (JA) oder Sie erhalten die Information, ob sie ein einem anderen Bereich arbeitet (NEIN)."
5,10,Pstatus==T,Eltern leben zusammen,"Sie erhalten die Information, ob die Eltern des SuS zusammen leben (JA) oder nicht (NEIN)."
6,30,"absences_(21.333, 32]",Viele Absenzen,"Sie erhalten die Information, ob der SuS viele Absenzen hat (mehr als 21) (JA) oder nicht (NEIN)."
7,30,"age_(19.667, 22]",Student ist alt,"Sie erhalten die Information, ob der SuS zum älteren Teil der Klasse gehört (älter als 19 Jahre) (JA) oder nicht (NEIN)."
8,20,"failures_(-0.003, 1]",Wenig durchgefallen,"Sie erhalten die Information, ob der SuS maximal ein Mal durchgefallen ist (JA) oder mehr als ein Mal durchgefallen ist (NEIN)."
9,20,"failures_(1, 2]",2 Mal durchgefallen,"Sie erhalten die Information, ob der SuS genau zwei Mal durchgefallen ist (JA) oder nicht (NEIN)."
10,20,"failures_(2, 3]",3+ Mal durchgefallen,"Sie erhalten die Information, ob der SuS drei oder mehr Mal durchgefallen ist (JA) oder weniger (NEIN)."
11,20,famsize==LE3,Kleine Familie,"Sie erhalten die Information, ob die Familie des SuS eher klein ist (drei Leute oder weniger) (JA) oder Sie erhalten die Information, ob sie grösser ist (NEIN)."
12,30,"health_(2.333, 3.667]",Durchschnittliche Gesundheit,"Sie erhalten die Information, ob der SuS einen durchschnittlichen Gesundheitsstatus hat (nicht besonders schlecht, aber auch nicht besonders gut) (JA) oder Sie erhalten die Information, ob der SuS einen tiefen / hohen Gesundheitsstatus hat (NEIN)."
13,20,higher==yes,Hoehere Ausbildung,"Sie erhalten die Information, ob der SuS nach der Sekundarschule noch eine höhere Ausbildungen machen möchte (JA) oder nicht (NEIN)."
14,20,paid==yes,Bezahlte Nachhilfe,"Sie erhalten die Information, ob der SuS bezahlte Nachhilfestunden nimmt (JA) oder nicht (NEIN)."
15,30,"studytime_(0.997, 2]",Lernt wenig,"Sie erhalten die Information, ob der SuS eher wenig lernt (weniger als 5 Stunden pro Woche neben der Schule) (JA) oder Sie erhalten die Information, ob der SuS mehr lernt (NEIN)."
