,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1,n mean,n mean|f=0,n mean|f=1,std mean,std mean|f=0,std mean|f=1,IG median,IG,IG geomean,IG majority_mean
Fjob_teacher,0.12062206835670364,0.44911894685833564,0.6529933932380046,0.20000000000000004,0.4000000000000001,0.7666666666666666,0.13750000000000004,0.49583333333333335,0.6833333333333332,0.1,0.5,0.7,24.0,24.0,24.0,0.09696480760071396,0.17315277663950707,0.1809796209201627,0.011870910076930752,0.013694250229865479,0.01485902361173086,0.06648413493932481
G3,0.5,,,0.5,,,0.5,,,0.5,,,2.0,,,0.0,,,,,,
"Medu_(-0.004, 1.333]",0.18531277045581812,0.4117781077852589,0.27721949938166274,0.20000000000000004,0.43333333333333335,0.3,0.23043478260869568,0.46086956521739136,0.3391304347826086,0.2,0.5,0.3,23.0,23.0,23.0,0.17171536334266987,0.19006967725925863,0.19244628633083474,0.023741820153861393,0.0209201760870793,0.045885826284508324,0.03403160065611244
Mjob_at_home,0.29342277798246963,0.49677939777954433,0.577742691629245,0.3,0.5,0.6,0.3212121212121213,0.5090909090909091,0.5969696969696968,0.3,0.5,0.6,33.0,33.0,33.0,0.1515700658061639,0.11555203471714692,0.1510067227080646,0.008714821663599492,0.008932368199284113,0.005158991186176909,0.008714821663599492
Mjob_other,0.4311972008428248,0.6017019107422639,0.4458361818218494,0.4333333333333333,0.6,0.4666666666666666,0.5045454545454544,0.6090909090909089,0.4636363636363636,0.6,0.6,0.5,22.0,22.0,22.0,0.2458750606599731,0.0971454035826165,0.12167659925061516,0.011619762218132546,0.019077536656050276,0.02075183547928061,0.017851622616978702
Pstatus==T,0.5112056958469089,0.41063933553980553,0.5805897665789878,0.5,0.39999999999999997,0.6999999999999998,0.5399999999999998,0.4285714285714287,0.6257142857142859,0.5,0.4,0.6,35.0,35.0,35.0,0.1575548457260668,0.1273518252517724,0.1787914610786037,0.02904940554533142,0.03168580216962691,0.020944734840610768,0.07387925315731936
"absences_(21.333, 32]",0.22904385724012982,0.5421901302026071,0.23620919465471577,0.20000000000000004,0.6,0.19999999999999998,0.27599999999999997,0.576,0.26399999999999996,0.2,0.6,0.3,25.0,25.0,25.0,0.17387735140993302,0.1588500340992514,0.11503622617824931,0.046981344590126484,0.05828164321791618,0.052366070532256725,0.07885390545879267
"age_(19.667, 22]",0.24440888394691782,0.4974839881185527,0.37299212279076993,0.26666666666666666,0.5333333333333333,0.4000000000000001,0.3181818181818182,0.5136363636363637,0.4454545454545454,0.25,0.5,0.5,22.0,22.0,22.0,0.21742292260184362,0.13902878956893902,0.21320071635561041,0.0,0.0031027851962746045,0.011515231315132324,0.010099311358888086
"failures_(-0.003, 1]",0.31118281490392485,0.19354574148697928,0.2956176098069285,0.19999999999999998,0.26666666666666666,0.4000000000000001,0.3655172413793104,0.23448275862068968,0.3379310344827586,0.3,0.2,0.3,29.0,29.0,29.0,0.22083585059134747,0.1541702724470705,0.16347519056735943,0.23026306380963857,0.1641503279843417,0.23919056901787217,0.13649728755613244
"failures_(1, 2]",0.36599987475825013,0.3436317133303275,0.3309750919646873,0.3666666666666667,0.26666666666666666,0.39999999999999997,0.38750000000000007,0.4,0.3625,0.4,0.45,0.4,16.0,16.0,16.0,0.12583057392117916,0.21602468994692867,0.1408308678285174,0.015955089825447466,0.03920646479588474,0.07626188959428704,0.11411231213721562
"failures_(2, 3]",0.19040045219015986,0.4464811329931745,0.15914309394789072,0.20000000000000004,0.5666666666666667,0.20000000000000004,0.22380952380952382,0.5238095238095238,0.18571428571428578,0.2,0.6,0.1,21.0,21.0,21.0,0.13380867649282652,0.2467889015024012,0.11526367287968177,0.12944040571840876,0.07010955004674857,0.07672249505035567,0.0659041615247784
famsize==LE3,0.43588977219349895,0.4699113228640329,0.5576578364281306,0.6,0.46666666666666673,0.6,0.5088235294117646,0.5,0.5852941176470587,0.5,0.5,0.6,34.0,34.0,34.0,0.24041333984420363,0.1687745492805372,0.16901201847381092,0.01452470277266571,0.010733365803636152,0.005664960987107781,0.018712990534544227
"health_(2.333, 3.667]",0.5291673861170475,0.414146700325035,0.46951549214649974,0.7333333333333334,0.46666666666666673,0.6,0.6045454545454545,0.45909090909090905,0.5227272727272727,0.7,0.5,0.5,22.0,22.0,22.0,0.23396636454896622,0.17087754152940693,0.19006720160390939,0.0,0.0028130465139515337,0.011483069013832337,0.02215846220480666
higher==yes,0.538072618162005,0.28439745084136675,0.6614046825430593,0.5666666666666665,0.3333333333333333,0.7000000000000001,0.5708333333333333,0.3166666666666667,0.6791666666666667,0.6,0.3,0.7,24.0,24.0,24.0,0.1829211440143983,0.14645571126562065,0.14135729219948653,0.1187091007693073,0.09667406875206774,0.10521497678856062,0.1026736290123288
paid==yes,0.24992352689170685,0.48204155837401436,0.6565231157548711,0.23333333333333336,0.5,0.7000000000000001,0.2928571428571428,0.5107142857142858,0.6785714285714288,0.3,0.5,0.7,28.0,28.0,28.0,0.15853162186855696,0.152362350055011,0.1595297321809808,0.035612730230792256,0.027783839440744473,0.01866587732399272,0.02769879017950516
"studytime_(0.997, 2]",0.5672472942289464,0.642537794772597,0.35423079661243934,0.6,0.7333333333333333,0.39999999999999997,0.5851851851851853,0.6777777777777777,0.37777777777777777,0.6,0.7,0.4,27.0,27.0,27.0,0.14332240069615962,0.16486202467362573,0.1281025230440697,0.06491328363492177,0.06414881708458431,0.06101289047694891,0.08277334655073187
