,p,p|f=0,p|f=1
Fjob_teacher,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.5, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3, 0.1, 0.3, 0.1]","[0.6, 0.1, 0.5, 0.5, 0.5, 0.5, 0.6, 0.8, 0.5, 0.5, 0.4, 0.5, 0.5, 0.5, 0.6, 0.7, 0.2, 0.5, 0.4, 0.5, 0.5, 0.1, 0.6, 0.8]","[0.8, 0.2, 0.5, 0.6, 0.7, 0.7, 0.8, 0.9, 0.9, 0.9, 0.6, 0.8, 0.5, 0.7, 0.6, 0.9, 0.8, 0.7, 0.6, 0.6, 0.8, 0.5, 0.4, 0.9]"
"Medu_(-0.004, 1.333]","[0.3, 0.5, 0.3, 0.1, 0.2, 0.1, 0.1, 0.2, 0.1, 0.2, 0.1, 0.1, 0.2, 0.7, 0.2, 0.1, 0.1, 0.4, 0.1, 0.6, 0.1, 0.3, 0.2]","[0.6, 0.6, 0.7, 0.6, 0.1, 0.8, 0.3, 0.6, 0.2, 0.5, 0.5, 0.2, 0.2, 0.5, 0.5, 0.7, 0.5, 0.4, 0.2, 0.5, 0.5, 0.6, 0.3]","[0.3, 0.5, 0.7, 0.6, 0.1, 0.3, 0.2, 0.2, 0.1, 0.5, 0.5, 0.1, 0.3, 0.6, 0.4, 0.3, 0.5, 0.5, 0.1, 0.1, 0.5, 0.3, 0.1]"
Mjob_at_home,"[0.4, 0.2, 0.2, 0.4, 0.2, 0.3, 0.1, 0.3, 0.2, 0.2, 0.3, 0.3, 0.3, 0.2, 0.5, 0.3, 0.5, 0.4, 0.4, 0.2, 0.2, 0.4, 0.9, 0.6, 0.4, 0.2, 0.3, 0.3, 0.3, 0.3, 0.2, 0.4, 0.2]","[0.7, 0.6, 0.5, 0.3, 0.5, 0.5, 0.3, 0.6, 0.6, 0.5, 0.6, 0.4, 0.6, 0.4, 0.4, 0.4, 0.5, 0.5, 0.6, 0.4, 0.5, 0.4, 0.8, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.8, 0.4]","[0.6, 0.7, 0.5, 0.7, 0.5, 0.5, 0.6, 0.4, 0.6, 0.6, 0.8, 0.6, 0.4, 0.9, 0.6, 0.6, 0.5, 0.5, 0.7, 0.6, 0.6, 0.6, 0.6, 0.6, 0.9, 0.9, 0.7, 0.8, 0.5, 0.5, 0.5, 0.3, 0.3]"
Mjob_other,"[0.7, 0.8, 0.9, 0.7, 0.4, 0.7, 0.2, 0.2, 0.7, 0.4, 0.2, 0.1, 0.7, 0.2, 0.3, 0.7, 0.7, 0.7, 0.2, 0.4, 0.6, 0.6]","[0.6, 0.6, 0.5, 0.7, 0.5, 0.5, 0.5, 0.7, 0.5, 0.6, 0.6, 0.8, 0.7, 0.7, 0.6, 0.5, 0.7, 0.5, 0.7, 0.7, 0.7, 0.5]","[0.3, 0.5, 0.5, 0.5, 0.3, 0.6, 0.5, 0.5, 0.5, 0.3, 0.3, 0.5, 0.5, 0.2, 0.4, 0.5, 0.6, 0.5, 0.7, 0.6, 0.4, 0.5]"
Pstatus==T,"[0.4, 0.5, 0.6, 0.7, 0.9, 0.5, 0.1, 0.5, 0.4, 0.5, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.7, 0.6, 0.6, 0.7, 0.5, 0.6, 0.5, 0.6, 0.4, 0.7, 0.9, 0.4, 0.4, 0.4, 0.4, 0.3, 0.6, 0.6, 0.4]","[0.5, 0.8, 0.4, 0.4, 0.5, 0.6, 0.4, 0.4, 0.4, 0.2, 0.4, 0.4, 0.3, 0.3, 0.5, 0.3, 0.4, 0.2, 0.5, 0.5, 0.4, 0.3, 0.4, 0.4, 0.4, 0.5, 0.3, 0.3, 0.6, 0.7, 0.4, 0.5, 0.4, 0.4, 0.6]","[0.7, 0.8, 0.9, 0.6, 0.8, 0.8, 0.9, 0.7, 0.6, 0.4, 0.6, 0.6, 0.7, 0.6, 0.5, 0.7, 0.8, 0.6, 0.5, 0.5, 0.6, 0.6, 0.6, 0.7, 0.8, 0.6, 0.8, 0.5, 0.7, 0.1, 0.8, 0.5, 0.6, 0.6, 0.1]"
"absences_(21.333, 32]","[0.4, 0.2, 0.8, 0.2, 0.5, 0.5, 0.5, 0.1, 0.2, 0.1, 0.2, 0.1, 0.3, 0.1, 0.1, 0.4, 0.2, 0.3, 0.1, 0.3, 0.3, 0.2, 0.3, 0.4, 0.1]","[0.6, 0.6, 0.7, 0.6, 0.6, 0.8, 0.5, 0.7, 0.7, 0.6, 0.3, 0.5, 0.5, 0.4, 0.8, 0.8, 0.5, 0.7, 0.5, 0.7, 0.6, 0.1, 0.6, 0.5, 0.5]","[0.4, 0.3, 0.2, 0.4, 0.3, 0.2, 0.1, 0.3, 0.3, 0.4, 0.5, 0.4, 0.3, 0.1, 0.1, 0.3, 0.3, 0.4, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2, 0.3]"
"age_(19.667, 22]","[0.5, 0.2, 0.8, 0.6, 0.2, 0.5, 0.1, 0.1, 0.1, 0.5, 0.1, 0.1, 0.3, 0.5, 0.2, 0.1, 0.1, 0.4, 0.5, 0.4, 0.1, 0.6]","[0.5, 0.5, 0.7, 0.5, 0.4, 0.4, 0.7, 0.5, 0.9, 0.5, 0.4, 0.6, 0.3, 0.4, 0.4, 0.4, 0.6, 0.5, 0.4, 0.5, 0.5, 0.7]","[0.6, 0.5, 0.1, 0.4, 0.6, 0.6, 0.3, 0.5, 0.5, 0.5, 0.6, 0.2, 0.9, 0.6, 0.6, 0.1, 0.1, 0.5, 0.6, 0.5, 0.1, 0.4]"
"failures_(-0.003, 1]","[0.9, 0.1, 0.3, 0.3, 0.5, 0.5, 0.5, 0.9, 0.2, 0.3, 0.4, 0.2, 0.3, 0.3, 0.1, 0.3, 0.3, 0.4, 0.3, 0.4, 0.2, 0.6, 0.9, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]","[0.1, 0.2, 0.1, 0.2, 0.1, 0.5, 0.1, 0.2, 0.1, 0.3, 0.1, 0.2, 0.2, 0.1, 0.5, 0.1, 0.1, 0.6, 0.2, 0.2, 0.5, 0.2, 0.5, 0.2, 0.3, 0.1, 0.3, 0.1, 0.4]","[0.2, 0.3, 0.5, 0.3, 0.5, 0.5, 0.2, 0.5, 0.2, 0.4, 0.3, 0.4, 0.4, 0.1, 0.3, 0.2, 0.1, 0.5, 0.3, 0.4, 0.5, 0.4, 0.1, 0.3, 0.3, 0.2, 0.5, 0.1, 0.8]"
"failures_(1, 2]","[0.3, 0.3, 0.5, 0.6, 0.5, 0.2, 0.2, 0.5, 0.4, 0.3, 0.4, 0.2, 0.5, 0.4, 0.5, 0.4]","[0.5, 0.7, 0.2, 0.5, 0.2, 0.2, 0.2, 0.3, 0.2, 0.4, 0.5, 0.1, 0.5, 0.5, 0.5, 0.9]","[0.4, 0.4, 0.2, 0.5, 0.3, 0.2, 0.1, 0.3, 0.3, 0.4, 0.4, 0.2, 0.6, 0.5, 0.5, 0.5]"
"failures_(2, 3]","[0.2, 0.2, 0.6, 0.1, 0.3, 0.1, 0.1, 0.3, 0.2, 0.1, 0.3, 0.2, 0.2, 0.4, 0.1, 0.1, 0.3, 0.1, 0.4, 0.1, 0.3]","[0.7, 0.4, 0.4, 0.1, 0.7, 0.7, 0.6, 0.5, 0.1, 0.3, 0.4, 0.2, 0.9, 0.6, 0.5, 0.6, 0.8, 0.8, 0.6, 0.2, 0.9]","[0.3, 0.1, 0.2, 0.1, 0.3, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.5, 0.2, 0.2, 0.1, 0.3, 0.1, 0.2, 0.1, 0.4]"
