,actual,actual,actual,actual,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff
,mean,mean|f=0,mean|f=1,IG,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1,IG median,IG,IG geomean,IG majority_mean,IG,IG geomean,IG majority_mean,IG median,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fjob_teacher,0.05546995377503852,0.5203915171288744,0.8055555555555556,0.013395849095574895,0.12062206835670365,0.4491189468583357,0.6529933932380046,0.20000000000000004,0.4000000000000001,0.7666666666666666,0.13750000000000004,0.4958333333333334,0.6833333333333332,0.1,0.5,0.7,0.011870910076930752,0.013694250229865479,0.01485902361173086,0.06648413493932481,0.0002984011342905841,0.0014631745161559646,0.053088285843749916,0.001524939018644143,0.06515211458166513,0.07127257027053874,0.15256216231755093,0.14453004622496152,0.12039151712887436,0.03888888888888897,0.08203004622496152,0.024558183795541033,0.12222222222222234,0.044530046224961484,0.020391517128874437,0.10555555555555562
G3,0.5362095531587057,0.0,1.0,0.996213559740236,0.5,,,0.5,,,0.5,,,0.5,,,,,,,,,,,0.036209553158705665,,,0.036209553158705665,,,0.036209553158705665,,,0.036209553158705665,,
"Medu_(-0.004, 1.333]",0.2295839753466872,0.594,0.3422818791946309,0.032735863823979194,0.18531277045581807,0.4117781077852589,0.27721949938166274,0.20000000000000004,0.43333333333333335,0.3,0.2304347826086957,0.4608695652173914,0.3391304347826086,0.2,0.5,0.3,0.023741820153861396,0.0209201760870793,0.04588582628450832,0.03403160065611244,0.011815687736899894,0.013149962460529123,0.001295736832133243,0.008994043670117798,0.04427120489086914,0.18222189221474105,0.06506237981296814,0.029583975346687164,0.16066666666666662,0.04228187919463089,0.0008508072620085072,0.13313043478260855,0.003151444412022253,0.02958397534668719,0.09399999999999997,0.04228187919463089
Mjob_at_home,0.20801232665639446,0.5914396887159533,0.32592592592592595,0.034002007178360216,0.29342277798246963,0.4967793977795443,0.577742691629245,0.3,0.5,0.6,0.3212121212121213,0.5090909090909091,0.5969696969696968,0.3,0.5,0.6,0.008714821663599492,0.008932368199284113,0.00515899118617691,0.008714821663599492,0.025069638979076103,0.028843015992183307,0.025287185514760724,0.025287185514760724,0.08541045132607517,0.09466029093640904,0.251816765703319,0.09198767334360552,0.09143968871595332,0.274074074074074,0.11319979455572682,0.08234877962504417,0.27104377104377086,0.09198767334360552,0.09143968871595332,0.274074074074074
Mjob_other,0.3975346687211094,0.5345268542199488,0.5387596899224806,1.2447901878154255e-05,0.4311972008428248,0.6017019107422639,0.4458361818218494,0.4333333333333333,0.6,0.4666666666666666,0.5045454545454544,0.6090909090909089,0.4636363636363636,0.6,0.6,0.5,0.011619762218132546,0.019077536656050283,0.020751835479280608,0.017851622616978702,0.01906508875417213,0.020739387577402454,0.017839174715100548,0.011607314316254391,0.03366253212171544,0.06717505652231504,0.09292350810063116,0.03579866461222392,0.06547314578005115,0.07209302325581396,0.10701078582434503,0.07456405487096007,0.07512332628611695,0.2024653312788906,0.06547314578005115,0.03875968992248058
Pstatus==T,0.8767334360554699,0.5375,0.5360281195079086,6.791932172234283e-07,0.5112056958469089,0.4106393355398055,0.5805897665789878,0.5,0.4,0.6999999999999998,0.5399999999999998,0.4285714285714287,0.6257142857142859,0.5,0.4,0.6,0.02904940554533142,0.031685802169626916,0.020944734840610768,0.07387925315731936,0.03168512297640969,0.020944055647393545,0.07387857396410213,0.029048726352114196,0.36552774020856105,0.1268606644601945,0.044561647071079125,0.37673343605546994,0.13749999999999996,0.16397188049209122,0.3367334360554701,0.10892857142857126,0.08968616620637726,0.37673343605546994,0.13749999999999996,0.06397188049209135
"absences_(21.333, 32]",0.009244992295839754,0.5381026438569206,0.3333333333333333,0.0011232552162560028,0.22904385724012985,0.5421901302026071,0.23620919465471574,0.20000000000000004,0.6,0.2,0.276,0.5760000000000001,0.264,0.2,0.6,0.3,0.046981344590126484,0.05828164321791617,0.052366070532256725,0.07885390545879267,0.05715838800166017,0.05124281531600072,0.07773065024253667,0.04585808937387048,0.2197988649442901,0.004087486345686453,0.09712413867861758,0.1907550077041603,0.06189735614307934,0.1333333333333333,0.2667550077041603,0.03789735614307943,0.0693333333333333,0.19075500770416026,0.06189735614307934,0.033333333333333326
"age_(19.667, 22]",0.01386748844375963,0.5375,0.4444444444444444,0.0003423834339723042,0.24440888394691784,0.4974839881185527,0.3729921227907699,0.26666666666666666,0.5333333333333333,0.4000000000000001,0.3181818181818182,0.5136363636363637,0.4454545454545454,0.25,0.5,0.5,0.0,0.0031027851962746045,0.011515231315132324,0.010099311358888086,0.0027604017623023003,0.01117284788116002,0.009756927924915781,0.0003423834339723042,0.23054139550315822,0.040016011881447267,0.07145232165367454,0.25279917822290704,0.004166666666666652,0.04444444444444434,0.30431432973805855,0.02386363636363631,0.001010101010100961,0.23613251155624038,0.03749999999999998,0.05555555555555558
