,id,medals,host_0,host_1,antehost_0,antehost_1,planned_econ_0,planned_econ_1,rel_muslim_0,rel_muslim_1,"ln_gdp_cap_[5.822, 7.676]","ln_gdp_cap_(7.676, 8.668]","ln_gdp_cap_(8.668, 9.378]","ln_gdp_cap_(9.378, 10.157]","ln_gdp_cap_(10.157, 11.894]","ln_pop_[9.894, 14.0683]","ln_pop_(14.0683, 15.381]","ln_pop_(15.381, 16.16]","ln_pop_(16.16, 17.244]","ln_pop_(17.244, 21.0439]",region_1,region_2,region_3,region_4,region_5,region_6,continent_1,continent_2,continent_3,continent_4,continent_5,"geographic area_[3.995, 9.813]","geographic area_(9.813, 11.276]","geographic area_(11.276, 12.413]","geographic area_(12.413, 13.531]","geographic area_(13.531, 16.654]","exports_[13.816, 20.226]","exports_(20.226, 21.778]","exports_(21.778, 23.243]","exports_(23.243, 25.0508]","exports_(25.0508, 28.424]","gdp growth rate_[-21.8, 1.5]","gdp growth rate_(1.5, 3]","gdp growth rate_(3, 4.3]","gdp growth rate_(4.3, 6]","gdp growth rate_(6, 121.9]","gdp per capita_[5.303, 7.523]","gdp per capita_(7.523, 8.487]","gdp per capita_(8.487, 9.259]","gdp per capita_(9.259, 9.992]","gdp per capita_(9.992, 11.541]","inflation rate_[-6.8, 2]","inflation rate_(2, 3.1]","inflation rate_(3.1, 5.388]","inflation rate_(5.388, 8.412]","inflation rate_(8.412, 563]","unemployment rate_[0, 5]","unemployment rate_(5, 8.3]","unemployment rate_(8.3, 14.6]","unemployment rate_(14.6, 20]","unemployment rate_(20, 95]","public debt_[1.6, 29.36]","public debt_(29.36, 45.06]","public debt_(45.06, 52.848]","public debt_(52.848, 71]","public debt_(71, 235.7]","population growth rate_[-1.14, 0.249]","population growth rate_(0.249, 0.921]","population growth rate_(0.921, 1.541]","population growth rate_(1.541, 2.254]","population growth rate_(2.254, 9.37]","life expectancy at birth_[30.76, 58.504]","life expectancy at birth_(58.504, 69.612]","life expectancy at birth_(69.612, 73.484]","life expectancy at birth_(73.484, 77.41]","life expectancy at birth_(77.41, 84.46]","net migration rate_[-33.42, -2.308]","net migration rate_(-2.308, -0.437]","net migration rate_(-0.437, 0]","net migration rate_(0, 1.372]","net migration rate_(1.372, 83.82]","education expenditures_[0.6, 3.133]","education expenditures_(3.133, 4.14]","education expenditures_(4.14, 5]","education expenditures_(5, 5.9]","education expenditures_(5.9, 17.8]","health expenditures_[1.9, 4.8]","health expenditures_(4.8, 5.9]","health expenditures_(5.9, 7.1]","health expenditures_(7.1, 9]","health expenditures_(9, 19.5]","electricity consumption_[16.0455, 20.243]","electricity consumption_(20.243, 22.204]","electricity consumption_(22.204, 23.345]","electricity consumption_(23.345, 24.87]","electricity consumption_(24.87, 29.302]","oil imports_[0.00995, 8.572]","oil imports_(8.572, 9.747]","oil imports_(9.747, 11.153]","oil imports_(11.153, 12.591]","oil imports_(12.591, 16.434]","internet users_[6.909, 11.367]","internet users_(11.367, 12.79]","internet users_(12.79, 14.15]","internet users_(14.15, 15.631]","internet users_(15.631, 19.779]","military expenditures_[0, 1]","military expenditures_(1, 1.5]","military expenditures_(1.5, 2.304]","military expenditures_(2.304, 3.1]","military expenditures_(3.1, 20.2]"
0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4,4,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5,5,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
6,6,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
7,7,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
8,8,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
9,9,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
