,IG
higher==yes,0.08430993190393897
"failures_(-0.003, 1]",0.03569554782830053
Mjob_at_home,0.034002007178360216
"Medu_(-0.004, 1.333]",0.032735863823979194
"studytime_(0.997, 2]",0.028030970432677996
"failures_(2, 3]",0.024308333480573933
"failures_(1, 2]",0.013587325871045608
Fjob_teacher,0.013395849095574895
"absences_(21.333, 32]",0.0011232552162560028
"age_(19.667, 22]",0.0003423834339723042
paid==yes,0.00010126885285122178
Mjob_other,1.2447901878154255e-05
"health_(2.333, 3.667]",1.0694207369210671e-05
Pstatus==T,6.791932172234283e-07
famsize==LE3,7.542422530981697e-08
