sex==Male,native.country_Ireland,education_Assoc-acdm,relationship_Husband,marital.status_Never-married,"education.num_(6, 11]",relationship_Own-child,"age_(16.927, 41.333]",marital.status_Married-civ-spouse,"capital.loss_(2904, 4356]",native.country_Scotland,"education.num_(11, 16]","hours.per.week_(0.902, 33.667]",occupation_Armed-Forces,education_Assoc-voc,"age_(41.333, 65.667]",native.country_Hungary,income==>50K
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
