,feature,answerUser,count
761,marital.status_Married-civ-spouse_0,A3HMBHM8HJLKRD,4
791,marital.status_Married-civ-spouse_1,A3HMBHM8HJLKRD,4
731,marital.status_Married-civ-spouse,A3HMBHM8HJLKRD,4
1157,native.country_Scotland_1,A2WA7JN5HGORA1,3
1156,native.country_Scotland_1,AVI77MTGQS0T9,3
1129,native.country_Scotland_0,A2WA7JN5HGORA1,3
1128,native.country_Scotland_0,AVI77MTGQS0T9,3
1101,native.country_Scotland,A2WA7JN5HGORA1,3
702,income==>50K,A3PQUGIQQBPR98,3
1100,native.country_Scotland,AVI77MTGQS0T9,3
1067,native.country_Ireland_1,A3HMBHM8HJLKRD,2
1130,native.country_Scotland_0,A3BJNFU4T7RU11,2
1102,native.country_Scotland,A3BJNFU4T7RU11,2
0,"age_(16.927, 41.333]",A21SIPO89DP66I,2
1184,occupation_Armed-Forces,ATADQXPHL10Y8,2
1034,native.country_Ireland_0,A3HMBHM8HJLKRD,2
1001,native.country_Ireland,A3HMBHM8HJLKRD,2
974,native.country_Hungary_1,A2VRDE2FHCBMF8,2
973,native.country_Hungary_1,A3HMBHM8HJLKRD,2
972,native.country_Hungary_1,A3PQUGIQQBPR98,2
971,native.country_Hungary_1,A23YHQJADTCAZY,2
944,native.country_Hungary_0,A2VRDE2FHCBMF8,2
943,native.country_Hungary_0,A3HMBHM8HJLKRD,2
942,native.country_Hungary_0,A3PQUGIQQBPR98,2
941,native.country_Hungary_0,A23YHQJADTCAZY,2
1158,native.country_Scotland_1,A3BJNFU4T7RU11,2
1185,occupation_Armed-Forces,A2WA7JN5HGORA1,2
913,native.country_Hungary,A3HMBHM8HJLKRD,2
1186,occupation_Armed-Forces,A2CJY4787IR70K,2
1511,sex==Male_1,A2WA7JN5HGORA1,2
1482,sex==Male_0,AVI77MTGQS0T9,2
1481,sex==Male_0,A2WA7JN5HGORA1,2
1452,sex==Male,AVI77MTGQS0T9,2
1451,sex==Male,A2WA7JN5HGORA1,2
1422,relationship_Own-child_1,A1KBYUMY156SX9,2
1393,relationship_Own-child_0,A1KBYUMY156SX9,2
1364,relationship_Own-child,A1KBYUMY156SX9,2
1337,relationship_Husband_1,AVI77MTGQS0T9,2
1336,relationship_Husband_1,A1743ZO14I4NFO,2
1335,relationship_Husband_1,A11ED29FYJKV2E,2
1308,relationship_Husband_0,AVI77MTGQS0T9,2
1307,relationship_Husband_0,A1743ZO14I4NFO,2
1306,relationship_Husband_0,A11ED29FYJKV2E,2
1279,relationship_Husband,AVI77MTGQS0T9,2
1278,relationship_Husband,A1743ZO14I4NFO,2
1277,relationship_Husband,A11ED29FYJKV2E,2
1248,occupation_Armed-Forces_1,A2CJY4787IR70K,2
1247,occupation_Armed-Forces_1,A2WA7JN5HGORA1,2
1246,occupation_Armed-Forces_1,ATADQXPHL10Y8,2
1217,occupation_Armed-Forces_0,A2CJY4787IR70K,2
1216,occupation_Armed-Forces_0,A2WA7JN5HGORA1,2
1215,occupation_Armed-Forces_0,ATADQXPHL10Y8,2
914,native.country_Hungary,A2VRDE2FHCBMF8,2
882,marital.status_Never-married_1,A3BJNFU4T7RU11,2
912,native.country_Hungary,A3PQUGIQQBPR98,2
375,"education.num_(6, 11]",ATADQXPHL10Y8,2
305,"education.num_(11, 16]_0",ANVAFB99K5RKP,2
270,"education.num_(11, 16]",ANVAFB99K5RKP,2
237,"capital.loss_(2904, 4356]_1",A3ULZGQA5AQMTD,2
204,"capital.loss_(2904, 4356]_0",A3ULZGQA5AQMTD,2
171,"capital.loss_(2904, 4356]",A3ULZGQA5AQMTD,2
140,"age_(41.333, 65.667]_1",A2IUT0610X9CV0,2
109,"age_(41.333, 65.667]_0",A2IUT0610X9CV0,2
78,"age_(41.333, 65.667]",A2IUT0610X9CV0,2
56,"age_(16.927, 41.333]_1",A2CJY4787IR70K,2
55,"age_(16.927, 41.333]_1",A14WLAP6TCEKO0,2
54,"age_(16.927, 41.333]_1",A3PQUGIQQBPR98,2
53,"age_(16.927, 41.333]_1",A2WA7JN5HGORA1,2
52,"age_(16.927, 41.333]_1",A21SIPO89DP66I,2
30,"age_(16.927, 41.333]_0",A2CJY4787IR70K,2
29,"age_(16.927, 41.333]_0",A14WLAP6TCEKO0,2
28,"age_(16.927, 41.333]_0",A3PQUGIQQBPR98,2
27,"age_(16.927, 41.333]_0",A2WA7JN5HGORA1,2
26,"age_(16.927, 41.333]_0",A21SIPO89DP66I,2
4,"age_(16.927, 41.333]",A2CJY4787IR70K,2
3,"age_(16.927, 41.333]",A14WLAP6TCEKO0,2
2,"age_(16.927, 41.333]",A3PQUGIQQBPR98,2
340,"education.num_(11, 16]_1",ANVAFB99K5RKP,2
376,"education.num_(6, 11]",A3KG85LTX4J6N0,2
911,native.country_Hungary,A23YHQJADTCAZY,2
377,"education.num_(6, 11]",A3HMBHM8HJLKRD,2
1,"age_(16.927, 41.333]",A2WA7JN5HGORA1,2
881,marital.status_Never-married_1,A3PQUGIQQBPR98,2
852,marital.status_Never-married_0,A3BJNFU4T7RU11,2
851,marital.status_Never-married_0,A3PQUGIQQBPR98,2
822,marital.status_Never-married,A3BJNFU4T7RU11,2
821,marital.status_Never-married,A3PQUGIQQBPR98,2
793,marital.status_Married-civ-spouse_1,A1FYFBIFYWTMJS,2
792,marital.status_Married-civ-spouse_1,A3BJNFU4T7RU11,2
763,marital.status_Married-civ-spouse_0,A1FYFBIFYWTMJS,2
762,marital.status_Married-civ-spouse_0,A3BJNFU4T7RU11,2
733,marital.status_Married-civ-spouse,A1FYFBIFYWTMJS,2
732,marital.status_Married-civ-spouse,A3BJNFU4T7RU11,2
575,education_Assoc-voc_1,A3PQUGIQQBPR98,2
544,education_Assoc-voc_0,A3PQUGIQQBPR98,2
513,education_Assoc-voc,A3PQUGIQQBPR98,2
437,"education.num_(6, 11]_1",A3HMBHM8HJLKRD,2
436,"education.num_(6, 11]_1",A3KG85LTX4J6N0,2
435,"education.num_(6, 11]_1",ATADQXPHL10Y8,2
407,"education.num_(6, 11]_0",A3HMBHM8HJLKRD,2
406,"education.num_(6, 11]_0",A3KG85LTX4J6N0,2
405,"education.num_(6, 11]_0",ATADQXPHL10Y8,2
1512,sex==Male_1,AVI77MTGQS0T9,2
